VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	0.0,	6.097443580627441,	1.9884300231933594,	148.00833129882812
1.0,	1.0,	6.3192362785339355,	1.6158151626586914,	148.28857421875
2.0,	2.0,	6.190986156463623,	2.030928611755371,	148.09307861328125
3.0,	3.0,	6.190986156463623,	2.030928611755371,	148.09307861328125
4.0,	4.0,	6.3192362785339355,	1.6158151626586914,	148.28857421875
5.0,	5.0,	6.3251953125,	2.058666229248047,	147.95510864257812
6.0,	6.0,	6.190986156463623,	2.030928611755371,	148.09307861328125
7.0,	7.0,	6.3251953125,	2.058666229248047,	147.95510864257812
8.0,	8.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
9.0,	9.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
10.0,	10.0,	6.3251953125,	2.058666229248047,	147.95510864257812
11.0,	11.0,	6.167631149291992,	2.6991024017333984,	147.43643188476562
12.0,	12.0,	6.097443580627441,	1.9884300231933594,	148.00833129882812
13.0,	13.0,	6.20426082611084,	1.6068220138549805,	148.20851135253906
14.0,	14.0,	6.3192362785339355,	1.6158151626586914,	148.28857421875
15.0,	15.0,	5.346138000488281,	2.7673044204711914,	147.90467834472656
16.0,	16.0,	5.398383617401123,	2.857010841369629,	147.97119140625
17.0,	17.0,	5.051427841186523,	2.9637718200683594,	148.1139678955078
18.0,	18.0,	5.398383617401123,	2.857010841369629,	147.97119140625
19.0,	19.0,	5.4450788497924805,	2.9736366271972656,	147.83370971679688
20.0,	20.0,	5.051427841186523,	2.9637718200683594,	148.1139678955078
21.0,	21.0,	5.398383617401123,	2.857010841369629,	147.97119140625
22.0,	22.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
23.0,	23.0,	5.4450788497924805,	2.9736366271972656,	147.83370971679688
24.0,	24.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
25.0,	25.0,	5.884199142456055,	2.975461959838867,	147.39718627929688
26.0,	26.0,	5.4450788497924805,	2.9736366271972656,	147.83370971679688
27.0,	27.0,	5.346138000488281,	2.7673044204711914,	147.90467834472656
28.0,	28.0,	5.051427841186523,	2.9637718200683594,	148.1139678955078
29.0,	29.0,	4.978774547576904,	2.8880109786987305,	148.03955078125
30.0,	30.0,	2.7330775260925293,	-12.803119659423828,	135.6027069091797
31.0,	31.0,	1.9879475831985474,	-12.49449634552002,	134.889892578125
32.0,	32.0,	2.1371688842773438,	-12.414142608642578,	134.7855682373047
33.0,	33.0,	-8.769216537475586,	-1.2766971588134766,	134.51783752441406
34.0,	34.0,	-8.526285171508789,	-1.6000581979751587,	133.69471740722656
35.0,	35.0,	-8.614717483520508,	-1.7593026161193848,	133.79034423828125
36.0,	36.0,	-10.314146041870117,	2.0170326232910156,	142.0238800048828
37.0,	37.0,	-10.171867370605469,	1.7491416931152344,	141.9684600830078
38.0,	38.0,	-10.145883560180664,	2.0604209899902344,	141.93060302734375
39.0,	38.0,	-10.145883560180664,	2.0604209899902344,	141.93060302734375
40.0,	37.0,	-10.171867370605469,	1.7491416931152344,	141.9684600830078
41.0,	39.0,	-10.021202087402344,	1.9593791961669922,	141.94944763183594
42.0,	40.0,	-9.167186737060547,	0.21538925170898438,	141.7892608642578
43.0,	41.0,	-9.052938461303711,	0.3413429260253906,	141.6981658935547
44.0,	42.0,	-9.31818962097168,	0.33881378173828125,	141.73333740234375
45.0,	42.0,	-9.31818962097168,	0.33881378173828125,	141.73333740234375
46.0,	41.0,	-9.052938461303711,	0.3413429260253906,	141.6981658935547
47.0,	43.0,	-9.059308052062988,	0.41902923583984375,	141.7150115966797
48.0,	44.0,	5.2514801025390625,	-13.206262588500977,	143.53553771972656
49.0,	45.0,	5.326238632202148,	-13.056032180786133,	143.43869018554688
50.0,	46.0,	5.084207534790039,	-13.114803314208984,	143.481689453125
51.0,	45.0,	5.326238632202148,	-13.056032180786133,	143.43869018554688
52.0,	47.0,	5.291486740112305,	-12.970346450805664,	143.45977783203125
53.0,	46.0,	5.084207534790039,	-13.114803314208984,	143.481689453125
54.0,	48.0,	4.060218811035156,	-12.58382797241211,	143.19509887695312
55.0,	49.0,	4.141955375671387,	-12.674758911132812,	143.1590118408203
56.0,	50.0,	4.18899393081665,	-12.464767456054688,	143.10665893554688
57.0,	49.0,	4.141955375671387,	-12.674758911132812,	143.1590118408203
58.0,	51.0,	4.2517499923706055,	-12.448675155639648,	143.129638671875
59.0,	50.0,	4.18899393081665,	-12.464767456054688,	143.10665893554688
60.0,	52.0,	-8.083130836486816,	1.7412748336791992,	145.54177856445312
61.0,	53.0,	-8.4322509765625,	1.682504653930664,	144.94517517089844
62.0,	54.0,	-8.19998550415039,	1.900425910949707,	145.58529663085938
63.0,	52.0,	-8.083130836486816,	1.7412748336791992,	145.54177856445312
64.0,	55.0,	-8.323732376098633,	1.5078096389770508,	144.84100341796875
65.0,	53.0,	-8.4322509765625,	1.682504653930664,	144.94517517089844
66.0,	56.0,	-9.740182876586914,	3.5720958709716797,	144.84742736816406
67.0,	57.0,	-9.58106803894043,	3.9090232849121094,	145.52516174316406
68.0,	58.0,	-9.625146865844727,	3.443124771118164,	144.94931030273438
69.0,	58.0,	-9.625146865844727,	3.443124771118164,	144.94931030273438
70.0,	57.0,	-9.58106803894043,	3.9090232849121094,	145.52516174316406
71.0,	59.0,	-9.460731506347656,	3.7224559783935547,	145.5348358154297
72.0,	60.0,	5.325050354003906,	-11.422505378723145,	146.6214141845703
73.0,	61.0,	5.125894069671631,	-11.653578758239746,	146.00413513183594
74.0,	62.0,	5.183132171630859,	-11.330732345581055,	146.56504821777344
75.0,	62.0,	5.183132171630859,	-11.330732345581055,	146.56504821777344
76.0,	61.0,	5.125894069671631,	-11.653578758239746,	146.00413513183594
77.0,	63.0,	4.977756023406982,	-11.569107055664062,	145.89646911621094
78.0,	64.0,	6.642086029052734,	-12.717018127441406,	146.06338500976562
79.0,	65.0,	6.557395935058594,	-12.62393569946289,	146.14486694335938
80.0,	66.0,	6.987709045410156,	-12.615354537963867,	146.69439697265625
81.0,	65.0,	6.557395935058594,	-12.62393569946289,	146.14486694335938
82.0,	67.0,	6.841770172119141,	-12.4966459274292,	146.7028350830078
83.0,	66.0,	6.987709045410156,	-12.615354537963867,	146.69439697265625
84.0,	68.0,	5.6779632568359375,	2.0065793991088867,	149.06399536132812
85.0,	69.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
86.0,	70.0,	5.855447769165039,	1.7808408737182617,	149.13914489746094
87.0,	69.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
88.0,	68.0,	5.6779632568359375,	2.0065793991088867,	149.06399536132812
89.0,	71.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
90.0,	72.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
91.0,	73.0,	5.963956832885742,	2.395069122314453,	147.78228759765625
92.0,	74.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
93.0,	73.0,	5.963956832885742,	2.395069122314453,	147.78228759765625
94.0,	72.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
95.0,	75.0,	5.822018146514893,	2.539177894592285,	147.7584228515625
96.0,	76.0,	6.190986156463623,	2.030928611755371,	148.09307861328125
97.0,	77.0,	5.963956832885742,	2.395069122314453,	147.78228759765625
98.0,	78.0,	6.097443580627441,	1.9884300231933594,	148.00833129882812
99.0,	77.0,	5.963956832885742,	2.395069122314453,	147.78228759765625
100.0,	76.0,	6.190986156463623,	2.030928611755371,	148.09307861328125
101.0,	79.0,	6.022950172424316,	2.480074882507324,	147.86056518554688
102.0,	80.0,	5.599255561828613,	2.100555419921875,	149.10426330566406
103.0,	81.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
104.0,	82.0,	5.6779632568359375,	2.0065793991088867,	149.06399536132812
105.0,	82.0,	5.6779632568359375,	2.0065793991088867,	149.06399536132812
106.0,	81.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
107.0,	83.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
108.0,	84.0,	5.68958854675293,	2.673215866088867,	147.744384765625
109.0,	85.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
110.0,	86.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
111.0,	85.0,	5.876326084136963,	2.614132881164551,	147.8326873779297
112.0,	84.0,	5.68958854675293,	2.673215866088867,	147.744384765625
113.0,	87.0,	5.822018146514893,	2.539177894592285,	147.7584228515625
114.0,	88.0,	5.398383617401123,	2.857010841369629,	147.97119140625
115.0,	89.0,	5.68958854675293,	2.673215866088867,	147.744384765625
116.0,	90.0,	5.742247581481934,	2.7630605697631836,	147.82177734375
117.0,	89.0,	5.68958854675293,	2.673215866088867,	147.744384765625
