VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	8358.0,	5.985154151916504,	-6.235719680786133,	150.6476287841797
1.0,	8359.0,	6.856649875640869,	-5.386538505554199,	150.55755615234375
2.0,	8360.0,	6.319070339202881,	-5.771939277648926,	150.608154296875
3.0,	8361.0,	-2.849140167236328,	3.008068323135376,	149.80712890625
4.0,	8362.0,	-2.349632978439331,	3.3449056148529053,	149.771728515625
5.0,	8363.0,	-1.9278640747070312,	3.8548927307128906,	149.7137451171875
6.0,	8364.0,	11.761533737182617,	15.8414306640625,	87.12381744384766
7.0,	8365.0,	11.693148612976074,	15.162565231323242,	87.11489868164062
8.0,	8366.0,	11.961963653564453,	15.255670547485352,	87.10456085205078
9.0,	8365.0,	11.693148612976074,	15.162565231323242,	87.11489868164062
10.0,	8364.0,	11.761533737182617,	15.8414306640625,	87.12381744384766
11.0,	8367.0,	11.482430458068848,	15.754203796386719,	87.14022827148438
12.0,	8368.0,	4.756441593170166,	-11.787200927734375,	145.22671508789062
13.0,	8369.0,	4.267969131469727,	-12.288507461547852,	143.85256958007812
14.0,	8370.0,	4.089271545410156,	-12.501413345336914,	143.98934936523438
15.0,	8368.0,	4.756441593170166,	-11.787200927734375,	145.22671508789062
16.0,	8370.0,	4.089271545410156,	-12.501413345336914,	143.98934936523438
17.0,	8371.0,	4.579853534698486,	-12.000682830810547,	145.36419677734375
18.0,	8372.0,	6.237848281860352,	-12.804035186767578,	145.43826293945312
19.0,	8373.0,	5.385204315185547,	-13.307405471801758,	144.244873046875
20.0,	8374.0,	5.541393280029297,	-13.062366485595703,	144.1240692138672
21.0,	8373.0,	5.385204315185547,	-13.307405471801758,	144.244873046875
22.0,	8372.0,	6.237848281860352,	-12.804035186767578,	145.43826293945312
23.0,	8375.0,	6.061466217041016,	-13.021690368652344,	145.56973266601562
24.0,	8376.0,	5.5751495361328125,	-13.310983657836914,	143.7523956298828
25.0,	8377.0,	3.7394955158233643,	-12.472163200378418,	143.58984375
26.0,	8378.0,	5.378896713256836,	-13.509038925170898,	143.8877410888672
27.0,	8377.0,	3.7394955158233643,	-12.472163200378418,	143.58984375
28.0,	8376.0,	5.5751495361328125,	-13.310983657836914,	143.7523956298828
29.0,	8379.0,	3.9175708293914795,	-12.259428024291992,	143.4525604248047
30.0,	8380.0,	4.6078972816467285,	-11.467876434326172,	145.52587890625
31.0,	8381.0,	6.561988830566406,	-12.888769149780273,	145.69419860839844
32.0,	8382.0,	4.431675910949707,	-11.687601089477539,	145.6541290283203
33.0,	8383.0,	6.390302658081055,	-13.112497329711914,	145.8230743408203
34.0,	8382.0,	4.431675910949707,	-11.687601089477539,	145.6541290283203
35.0,	8381.0,	6.561988830566406,	-12.888769149780273,	145.69419860839844
36.0,	8384.0,	4.267969131469727,	-12.288507461547852,	143.85256958007812
37.0,	8385.0,	5.541393280029297,	-13.062366485595703,	144.1240692138672
38.0,	8386.0,	4.089271545410156,	-12.501413345336914,	143.98934936523438
39.0,	8387.0,	5.385204315185547,	-13.307405471801758,	144.244873046875
40.0,	8386.0,	4.089271545410156,	-12.501413345336914,	143.98934936523438
41.0,	8385.0,	5.541393280029297,	-13.062366485595703,	144.1240692138672
42.0,	8388.0,	6.237848281860352,	-12.804035186767578,	145.43826293945312
43.0,	8389.0,	4.579853534698486,	-12.000682830810547,	145.36419677734375
44.0,	8390.0,	6.061466217041016,	-13.021690368652344,	145.56973266601562
45.0,	8389.0,	4.579853534698486,	-12.000682830810547,	145.36419677734375
46.0,	8388.0,	6.237848281860352,	-12.804035186767578,	145.43826293945312
47.0,	8391.0,	4.756441593170166,	-11.787200927734375,	145.22671508789062
48.0,	8392.0,	4.431675910949707,	-11.687601089477539,	145.6541290283203
49.0,	8393.0,	3.7394955158233643,	-12.472163200378418,	143.58984375
50.0,	8394.0,	4.6078972816467285,	-11.467876434326172,	145.52587890625
51.0,	8395.0,	3.9175708293914795,	-12.259428024291992,	143.4525604248047
52.0,	8394.0,	4.6078972816467285,	-11.467876434326172,	145.52587890625
53.0,	8393.0,	3.7394955158233643,	-12.472163200378418,	143.58984375
54.0,	8396.0,	6.561988830566406,	-12.888769149780273,	145.69419860839844
55.0,	8397.0,	5.5751495361328125,	-13.310983657836914,	143.7523956298828
56.0,	8398.0,	5.378896713256836,	-13.509038925170898,	143.8877410888672
57.0,	8396.0,	6.561988830566406,	-12.888769149780273,	145.69419860839844
58.0,	8398.0,	5.378896713256836,	-13.509038925170898,	143.8877410888672
59.0,	8399.0,	6.390302658081055,	-13.112497329711914,	145.8230743408203
60.0,	8400.0,	3.1324408054351807,	-13.410171508789062,	142.11407470703125
61.0,	8401.0,	4.186324119567871,	-12.248262405395508,	142.7680206298828
62.0,	8402.0,	3.6689882278442383,	-12.860920906066895,	143.0986328125
63.0,	8401.0,	4.186324119567871,	-12.248262405395508,	142.7680206298828
64.0,	8400.0,	3.1324408054351807,	-13.410171508789062,	142.11407470703125
65.0,	8403.0,	3.757528781890869,	-12.71173095703125,	141.80746459960938
66.0,	8404.0,	5.462701797485352,	-12.988443374633789,	143.1173858642578
67.0,	8405.0,	4.471778869628906,	-14.253246307373047,	142.41123962402344
68.0,	8406.0,	4.97581672668457,	-13.610536575317383,	143.42079162597656
69.0,	8405.0,	4.471778869628906,	-14.253246307373047,	142.41123962402344
70.0,	8404.0,	5.462701797485352,	-12.988443374633789,	143.1173858642578
71.0,	8407.0,	4.970388412475586,	-13.653738021850586,	142.0926055908203
72.0,	8408.0,	3.757528781890869,	-12.71173095703125,	141.80746459960938
73.0,	8409.0,	5.462701797485352,	-12.988443374633789,	143.1173858642578
74.0,	8410.0,	4.186324119567871,	-12.248262405395508,	142.7680206298828
75.0,	8409.0,	5.462701797485352,	-12.988443374633789,	143.1173858642578
76.0,	8408.0,	3.757528781890869,	-12.71173095703125,	141.80746459960938
77.0,	8411.0,	4.970388412475586,	-13.653738021850586,	142.0926055908203
78.0,	8412.0,	4.471778869628906,	-14.253246307373047,	142.41123962402344
79.0,	8413.0,	3.1324408054351807,	-13.410171508789062,	142.11407470703125
80.0,	8414.0,	4.97581672668457,	-13.610536575317383,	143.42079162597656
81.0,	8415.0,	3.6689882278442383,	-12.860920906066895,	143.0986328125
82.0,	8414.0,	4.97581672668457,	-13.610536575317383,	143.42079162597656
83.0,	8413.0,	3.1324408054351807,	-13.410171508789062,	142.11407470703125
84.0,	8416.0,	9.768791198730469,	-10.001977920532227,	150.620361328125
85.0,	8417.0,	10.161419868469238,	-10.236075401306152,	150.5102996826172
86.0,	8418.0,	10.137178421020508,	-10.220292091369629,	150.73648071289062
87.0,	8416.0,	9.768791198730469,	-10.001977920532227,	150.620361328125
88.0,	8418.0,	10.137178421020508,	-10.220292091369629,	150.73648071289062
89.0,	8419.0,	9.923776626586914,	-10.096936225891113,	150.8036651611328
90.0,	8420.0,	11.184786796569824,	-8.847631454467773,	150.64010620117188
91.0,	8421.0,	11.330236434936523,	-9.046667098999023,	150.5923309326172
92.0,	8422.0,	11.299236297607422,	-9.123414993286133,	150.36404418945312
93.0,	8422.0,	11.299236297607422,	-9.123414993286133,	150.36404418945312
94.0,	8423.0,	11.031329154968262,	-8.746956825256348,	150.48179626464844
95.0,	8420.0,	11.184786796569824,	-8.847631454467773,	150.64010620117188
96.0,	8424.0,	9.59058666229248,	-5.919046401977539,	150.44583129882812
97.0,	8425.0,	8.1937255859375,	-9.537315368652344,	150.72125244140625
98.0,	8426.0,	10.792877197265625,	-6.975736618041992,	150.32940673828125
99.0,	8425.0,	8.1937255859375,	-9.537315368652344,	150.72125244140625
100.0,	8424.0,	9.59058666229248,	-5.919046401977539,	150.44583129882812
101.0,	8427.0,	7.0277485847473145,	-8.442561149597168,	150.75999450683594
102.0,	8428.0,	8.527420043945312,	-5.037134170532227,	150.45127868652344
103.0,	8429.0,	7.0277485847473145,	-8.442561149597168,	150.75999450683594
104.0,	8430.0,	9.59058666229248,	-5.919046401977539,	150.44583129882812
105.0,	8429.0,	7.0277485847473145,	-8.442561149597168,	150.75999450683594
106.0,	8428.0,	8.527420043945312,	-5.037134170532227,	150.45127868652344
107.0,	8431.0,	6.136798858642578,	-7.599730491638184,	150.81129455566406
108.0,	8432.0,	6.136798858642578,	-7.599730491638184,	150.81129455566406
109.0,	8433.0,	7.6103668212890625,	-5.136999130249023,	150.4757537841797
110.0,	8434.0,	5.850331783294678,	-7.001238822937012,	150.68161010742188
111.0,	8433.0,	7.6103668212890625,	-5.136999130249023,	150.4757537841797
112.0,	8432.0,	6.136798858642578,	-7.599730491638184,	150.81129455566406
113.0,	8435.0,	8.527420043945312,	-5.037134170532227,	150.45127868652344
114.0,	8436.0,	5.850331783294678,	-7.001238822937012,	150.68161010742188
115.0,	8437.0,	6.856649875640869,	-5.386538505554199,	150.55755615234375
116.0,	8438.0,	5.985154151916504,	-6.235719680786133,	150.6476287841797
117.0,	8437.0,	6.856649875640869,	-5.386538505554199,	150.55755615234375
118.0,	8436.0,	5.850331783294678,	-7.001238822937012,	150.68161010742188
119.0,	8439.0,	7.6103668212890625,	-5.136999130249023,	150.4757537841797
120.0,	8440.0,	-8.52110481262207,	1.2244415283203125,	144.1055908203125
121.0,	8441.0,	-9.160821914672852,	0.37252140045166016,	142.674560546875
122.0,	8442.0,	-8.934922218322754,	0.5380058288574219,	142.54669189453125
123.0,	8441.0,	-9.160821914672852,	0.37252140045166016,	142.674560546875
124.0,	8440.0,	-8.52110481262207,	1.2244415283203125,	144.1055908203125
125.0,	8443.0,	-8.748968124389648,	1.0668668746948242,	144.2429962158203
126.0,	8444.0,	-9.872766494750977,	3.144411087036133,	144.15896606445312
127.0,	8445.0,	-10.425525665283203,	2.2239990234375,	142.79901123046875
128.0,	8446.0,	-10.114370346069336,	2.9986934661865234,	144.28175354003906
129.0,	8445.0,	-10.425525665283203,	2.2239990234375,	142.79901123046875
130.0,	8444.0,	-9.872766494750977,	3.144411087036133,	144.15896606445312
131.0,	8447.0,	-10.175416946411133,	2.3683929443359375,	142.69236755371094
132.0,	8448.0,	-10.427366256713867,	2.435598373413086,	142.275146484375
133.0,	8449.0,	-9.045928001403809,	-0.07400894165039062,	142.26583862304688
134.0,	8450.0,	-8.81910514831543,	0.08837127685546875,	142.13365173339844
135.0,	8449.0,	-9.045928001403809,	-0.07400894165039062,	142.26583862304688
136.0,	8448.0,	-10.427366256713867,	2.435598373413086,	142.275146484375
137.0,	8451.0,	-10.657493591308594,	2.265993118286133,	142.37977600097656
138.0,	8452.0,	-9.989593505859375,	3.583017349243164,	144.42413330078125
139.0,	8453.0,	-8.433478355407715,	0.9307355880737305,	144.5928497314453
140.0,	8454.0,	-10.231182098388672,	3.433330535888672,	144.54296875
141.0,	8453.0,	-8.433478355407715,	0.9307355880737305,	144.5928497314453
142.0,	8452.0,	-9.989593505859375,	3.583017349243164,	144.42413330078125
143.0,	8455.0,	-8.206893920898438,	1.0926446914672852,	144.46580505371094
144.0,	8456.0,	-10.175416946411133,	2.3683929443359375,	142.69236755371094
145.0,	8457.0,	-9.160821914672852,	0.37252140045166016,	142.674560546875
146.0,	8458.0,	-10.425525665283203,	2.2239990234375,	142.79901123046875
147.0,	8457.0,	-9.160821914672852,	0.37252140045166016,	142.674560546875
148.0,	8456.0,	-10.175416946411133,	2.3683929443359375,	142.69236755371094
149.0,	8459.0,	-8.934922218322754,	0.5380058288574219,	142.54669189453125
150.0,	8460.0,	-9.872766494750977,	3.144411087036133,	144.15896606445312
151.0,	8461.0,	-8.748968124389648,	1.0668668746948242,	144.2429962158203
152.0,	8462.0,	-8.52110481262207,	1.2244415283203125,	144.1055908203125
153.0,	8461.0,	-8.748968124389648,	1.0668668746948242,	144.2429962158203
154.0,	8460.0,	-9.872766494750977,	3.144411087036133,	144.15896606445312
155.0,	8463.0,	-10.114370346069336,	2.9986934661865234,	144.28175354003906
156.0,	8464.0,	-8.206893920898438,	1.0926446914672852,	144.46580505371094
157.0,	8465.0,	-8.81910514831543,	0.08837127685546875,	142.13365173339844
158.0,	8466.0,	-9.045928001403809,	-0.07400894165039062,	142.26583862304688
159.0,	8464.0,	-8.206893920898438,	1.0926446914672852,	144.46580505371094
160.0,	8466.0,	-9.045928001403809,	-0.07400894165039062,	142.26583862304688
161.0,	8467.0,	-8.433478355407715,	0.9307355880737305,	144.5928497314453
162.0,	8468.0,	-10.231182098388672,	3.433330535888672,	144.54296875
163.0,	8469.0,	-10.657493591308594,	2.265993118286133,	142.37977600097656
164.0,	8470.0,	-9.989593505859375,	3.583017349243164,	144.42413330078125
165.0,	8471.0,	-10.427366256713867,	2.435598373413086,	142.275146484375
166.0,	8470.0,	-9.989593505859375,	3.583017349243164,	144.42413330078125
167.0,	8469.0,	-10.657493591308594,	2.265993118286133,	142.37977600097656
168.0,	8472.0,	-9.62884521484375,	-0.5873870849609375,	140.7170867919922
169.0,	8473.0,	-8.777322769165039,	0.2775306701660156,	141.37208557128906
170.0,	8474.0,	-8.998551368713379,	-0.1546173095703125,	140.39988708496094
