VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z, ATTRIBUTE9.x, ATTRIBUTE9.y, ATTRIBUTE9.z, ATTRIBUTE10.x, ATTRIBUTE10.y, ATTRIBUTE10.z
0, 2982, 8.23028, 1.76177, 4.15492, -0.71654, -0.29921, -0.62992, 1.00, -0.68504, 0.48031, 0.55118, -1.00, 0.05151, 0.83496, 0.98431, 0.38824, 0.43922, 1.00, 6, 18, 22, 21, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00849, -0.00175, -0.00761, 0.004, 0.00439, 0.00136
1, 2983, 8.40423, 2.11917, 4.30061, -0.44882, -0.75591, -0.46457, 1.00, -0.8189, 0.14173, 0.55906, -1.00, 0.00959, 0.83984, 0.98824, 0.41176, 0.45098, 1.00, 18, 22, 15, 0, 0, 0, 0, 0, 0.47059, 0.39608, 0.13333, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01515, -0.00468, -0.01909, 0.00397, 0.00281, 0.00458
2, 2984, 8.41879, 1.90322, 4.36816, -0.49606, -0.74803, -0.44094, 1.00, -0.79528, 0.18898, 0.58268, -1.00, 0.01025, 0.82617, 0.98824, 0.40, 0.4549, 1.00, 22, 18, 15, 21, 0, 0, 0, 0, 0.5098, 0.40784, 0.0549, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01181, -0.004, -0.01416, 0.00361, 0.00469, 0.00305
3, 2982, 8.23028, 1.76177, 4.15492, -0.71654, -0.29921, -0.62992, 1.00, -0.68504, 0.48031, 0.55118, -1.00, 0.05151, 0.83496, 0.98431, 0.38824, 0.43922, 1.00, 6, 18, 22, 21, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00849, -0.00175, -0.00761, 0.004, 0.00439, 0.00136
4, 2984, 8.41879, 1.90322, 4.36816, -0.49606, -0.74803, -0.44094, 1.00, -0.79528, 0.18898, 0.58268, -1.00, 0.01025, 0.82617, 0.98824, 0.40, 0.4549, 1.00, 22, 18, 15, 21, 0, 0, 0, 0, 0.5098, 0.40784, 0.0549, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01181, -0.004, -0.01416, 0.00361, 0.00469, 0.00305
5, 2985, 8.43388, 1.72773, 4.46939, -0.68504, -0.70866, -0.17323, 1.00, -0.67717, 0.53543, 0.50394, -1.00, 0.01263, 0.81201, 0.98431, 0.38824, 0.46275, 1.00, 22, 18, 21, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, -0.00322, -0.00898, 0.00707, 0.01091, -0.00353
6, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
7, 2982, 8.23028, 1.76177, 4.15492, -0.71654, -0.29921, -0.62992, 1.00, -0.68504, 0.48031, 0.55118, -1.00, 0.05151, 0.83496, 0.98431, 0.38824, 0.43922, 1.00, 6, 18, 22, 21, 0, 0, 0, 0, 0.37255, 0.29804, 0.29412, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00849, -0.00175, -0.00761, 0.004, 0.00439, 0.00136
8, 2985, 8.43388, 1.72773, 4.46939, -0.68504, -0.70866, -0.17323, 1.00, -0.67717, 0.53543, 0.50394, -1.00, 0.01263, 0.81201, 0.98431, 0.38824, 0.46275, 1.00, 22, 18, 21, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, -0.00322, -0.00898, 0.00707, 0.01091, -0.00353
9, 2985, 8.43388, 1.72773, 4.46939, -0.68504, -0.70866, -0.17323, 1.00, -0.67717, 0.53543, 0.50394, -1.00, 0.01263, 0.81201, 0.98431, 0.38824, 0.46275, 1.00, 22, 18, 21, 0, 0, 0, 0, 0, 0.63529, 0.32157, 0.04314, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00824, -0.00322, -0.00898, 0.00707, 0.01091, -0.00353
