VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
0, 30859, 11.29943, 2.38677, 173.48772, -0.34646, -0.88976, -0.29134, 1.00, 0.76378, -0.44882, 0.46457, 1.00, 0.32959, 0.01869, 0.94971, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1, 30860, 10.88053, 2.31916, 174.01901, 0.01575, -0.97638, -0.20472, 1.00, 0.77953, -0.11811, 0.61417, 1.00, 0.32544, 0.00545, 0.94922, 0.64941, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 30861, 11.31051, 2.41507, 173.49686, -0.00787, -0.98425, -0.17323, 1.00, 0.82677, -0.10236, 0.55906, 1.00, 0.32544, 0.01869, 0.94922, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 30861, 11.31051, 2.41507, 173.49686, -0.00787, -0.98425, -0.17323, 1.00, 0.82677, -0.10236, 0.55906, 1.00, 0.32544, 0.01869, 0.94922, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 30860, 10.88053, 2.31916, 174.01901, 0.01575, -0.97638, -0.20472, 1.00, 0.77953, -0.11811, 0.61417, 1.00, 0.32544, 0.00545, 0.94922, 0.64941, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 30862, 11.29783, 2.49225, 173.51009, 0.16535, -0.9685, -0.17323, 1.00, 0.8189, 0.03937, 0.56693, 1.00, 0.31909, 0.01869, 0.94922, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 30863, 9.30304, 1.53401, 175.33522, -0.22835, -0.9685, 0.11811, 1.00, 0.37008, 0.02362, 0.92913, 1.00, 0.12451, 0.00545, 0.94043, 0.64941, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 30864, 9.73525, 1.41012, 175.16568, -0.22835, -0.9685, 0.11811, 1.00, 0.44094, 0.00, 0.89764, 1.00, 0.12451, 0.01553, 0.94043, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 30865, 9.69628, 1.24522, 175.18568, -0.20472, -0.9685, 0.11024, 1.00, 0.4252, 0.00787, 0.90551, 1.00, 0.13269, 0.01553, 0.94043, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 30864, 9.73525, 1.41012, 175.16568, -0.22835, -0.9685, 0.11811, 1.00, 0.44094, 0.00, 0.89764, 1.00, 0.12451, 0.01553, 0.94043, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
