VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
0, 0, -6.3983, 6.9255, 9.1652, -0.86614, -0.43307, -0.24409, 1.00, -0.35433, 0.88189, -0.30709, -1.00, 0.31909, 0.63623, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1, 1, -6.4516, 6.9026, 8.9357, -0.89764, -0.4252, -0.07874, 1.00, -0.30709, 0.75591, -0.5748, -1.00, 0.31909, 0.63867, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, -6.3983, 6.9255, 9.1652, -0.86614, -0.43307, -0.24409, 1.00, -0.35433, 0.88189, -0.30709, -1.00, 0.31909, 0.63623, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7, 2, -6.1343, 6.9968, 8.7653, -0.85039, -0.27559, -0.44094, 1.00, -0.28346, 0.96063, -0.04724, -1.00, 0.31738, 0.6416, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 3, -5.5967, 7.156, 8.7721, -0.70079, -0.54331, -0.45669, 1.00, -0.3937, 0.83465, -0.3937, -1.00, 0.31177, 0.64404, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 4, -5.5074, 7.1033, 8.3618, -0.71654, -0.29921, -0.62992, 1.00, -0.25197, 0.95276, -0.17323, -1.00, 0.31396, 0.64795, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 6, -4.6747, 7.2239, 7.7287, -0.65354, -0.14173, -0.74016, 1.00, -0.15748, 0.98425, -0.04724, -1.00, 0.31201, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 5, -4.5945, 7.2935, 8.1002, -0.62992, -0.1811, -0.75591, 1.00, -0.13386, 0.98425, -0.12598, -1.00, 0.30835, 0.65723, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16, 6, -4.6747, 7.2239, 7.7287, -0.65354, -0.14173, -0.74016, 1.00, -0.15748, 0.98425, -0.04724, -1.00, 0.31201, 0.65918, 1.00, 1.00, 1.00, 1.00, 6, 0, 0, 0, 6, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
