VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	2982.0,	8.210371017456055,	1.7534008026123047,	4.138152599334717
1.0,	2983.0,	8.367109298706055,	2.094374895095825,	4.263779163360596
2.0,	2984.0,	8.38999080657959,	1.8850361108779907,	4.339805603027344
3.0,	2982.0,	8.210371017456055,	1.7534008026123047,	4.138152599334717
4.0,	2984.0,	8.38999080657959,	1.8850361108779907,	4.339805603027344
5.0,	2985.0,	8.414390563964844,	1.715540885925293,	4.44942569732666
6.0,	2986.0,	8.347475051879883,	1.5456818342208862,	4.589219570159912
7.0,	2982.0,	8.210371017456055,	1.7534008026123047,	4.138152599334717
8.0,	2985.0,	8.414390563964844,	1.715540885925293,	4.44942569732666
9.0,	2985.0,	8.414390563964844,	1.715540885925293,	4.44942569732666
10.0,	2987.0,	8.444083213806152,	1.6154398918151855,	4.591535568237305
11.0,	2986.0,	8.347475051879883,	1.5456818342208862,	4.589219570159912
12.0,	2988.0,	8.465760231018066,	1.7077264785766602,	4.724767684936523
13.0,	2986.0,	8.347475051879883,	1.5456818342208862,	4.589219570159912
14.0,	2987.0,	8.444083213806152,	1.6154398918151855,	4.591535568237305
15.0,	2988.0,	8.465760231018066,	1.7077264785766602,	4.724767684936523
16.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
17.0,	2986.0,	8.347475051879883,	1.5456818342208862,	4.589219570159912
18.0,	2990.0,	8.479544639587402,	1.8691567182540894,	4.873312473297119
19.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
20.0,	2988.0,	8.465760231018066,	1.7077264785766602,	4.724767684936523
21.0,	2991.0,	8.502732276916504,	2.2043726444244385,	5.090860843658447
22.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
23.0,	2990.0,	8.479544639587402,	1.8691567182540894,	4.873312473297119
24.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
25.0,	2991.0,	8.502732276916504,	2.2043726444244385,	5.090860843658447
26.0,	2992.0,	8.447649002075195,	2.024404525756836,	5.570940971374512
27.0,	2991.0,	8.502732276916504,	2.2043726444244385,	5.090860843658447
28.0,	2993.0,	8.57780933380127,	2.6054141521453857,	5.277800559997559
29.0,	2992.0,	8.447649002075195,	2.024404525756836,	5.570940971374512
30.0,	2994.0,	8.158454895019531,	1.3318742513656616,	5.222337245941162
31.0,	2986.0,	8.347475051879883,	1.5456818342208862,	4.589219570159912
32.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
33.0,	2995.0,	8.497467041015625,	2.501676082611084,	5.876829147338867
34.0,	2992.0,	8.447649002075195,	2.024404525756836,	5.570940971374512
35.0,	2993.0,	8.57780933380127,	2.6054141521453857,	5.277800559997559
36.0,	2995.0,	8.497467041015625,	2.501676082611084,	5.876829147338867
37.0,	2993.0,	8.57780933380127,	2.6054141521453857,	5.277800559997559
38.0,	2996.0,	8.618498802185059,	3.03650164604187,	5.3857502937316895
39.0,	2997.0,	8.305057525634766,	1.5907983779907227,	5.824395656585693
40.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
41.0,	2992.0,	8.447649002075195,	2.024404525756836,	5.570940971374512
42.0,	2989.0,	8.388574600219727,	1.6857677698135376,	5.1155900955200195
43.0,	2997.0,	8.305057525634766,	1.5907983779907227,	5.824395656585693
