VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	0.0,	8.87795352935791,	-1.5946698188781738,	5.300799369812012
1.0,	1.0,	8.837870597839355,	-1.679213523864746,	5.248298168182373
2.0,	2.0,	8.907761573791504,	-1.6143776178359985,	5.373111248016357
3.0,	3.0,	8.865638732910156,	1.580949306488037,	5.300412654876709
4.0,	4.0,	8.894848823547363,	1.5995590686798096,	5.372704029083252
5.0,	5.0,	8.825499534606934,	1.6650429964065552,	5.247899055480957
6.0,	6.0,	8.915128707885742,	-3.029951572418213,	5.444498062133789
7.0,	7.0,	8.919042587280273,	-3.2194042205810547,	5.503123760223389
8.0,	8.0,	8.914793968200684,	-3.0513758659362793,	5.385977745056152
9.0,	9.0,	8.907144546508789,	-2.8973777294158936,	5.402623176574707
10.0,	6.0,	8.915128707885742,	-3.029951572418213,	5.444498062133789
11.0,	8.0,	8.914793968200684,	-3.0513758659362793,	5.385977745056152
12.0,	10.0,	8.903026580810547,	2.968088388442993,	5.443225860595703
13.0,	11.0,	8.903008460998535,	2.988206386566162,	5.3846821784973145
14.0,	12.0,	8.912297248840332,	3.1557400226593018,	5.501808166503906
15.0,	13.0,	8.89212703704834,	2.839440107345581,	5.401482105255127
16.0,	11.0,	8.903008460998535,	2.988206386566162,	5.3846821784973145
17.0,	10.0,	8.903026580810547,	2.968088388442993,	5.443225860595703
18.0,	14.0,	9.169458389282227,	0.0003480532323010266,	-0.9647597670555115
19.0,	15.0,	9.198036193847656,	0.0003280773526057601,	-0.6032281517982483
20.0,	16.0,	9.178611755371094,	0.23760689795017242,	-0.603035032749176
21.0,	16.0,	9.178611755371094,	0.23760689795017242,	-0.603035032749176
22.0,	17.0,	9.092607498168945,	0.5135934352874756,	-0.9645836353302002
23.0,	14.0,	9.169458389282227,	0.0003480532323010266,	-0.9647597670555115
24.0,	18.0,	9.122685432434082,	0.5161435008049011,	-0.6030716896057129
25.0,	17.0,	9.092607498168945,	0.5135934352874756,	-0.9645836353302002
26.0,	16.0,	9.178611755371094,	0.23760689795017242,	-0.603035032749176
27.0,	18.0,	9.122685432434082,	0.5161435008049011,	-0.6030716896057129
28.0,	19.0,	9.006293296813965,	0.7471182346343994,	-0.9644848108291626
29.0,	17.0,	9.092607498168945,	0.5135934352874756,	-0.9645836353302002
30.0,	19.0,	9.006293296813965,	0.7471182346343994,	-0.9644848108291626
31.0,	18.0,	9.122685432434082,	0.5161435008049011,	-0.6030716896057129
32.0,	20.0,	9.03878116607666,	0.7499685287475586,	-0.602972686290741
