VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	30859.0,	13.093456268310547,	2.2612342834472656,	171.37796020507812
1.0,	30860.0,	12.749027252197266,	2.158295154571533,	171.95509338378906
2.0,	30861.0,	13.103805541992188,	2.290043830871582,	171.38633728027344
3.0,	30861.0,	13.103805541992188,	2.290043830871582,	171.38633728027344
4.0,	30860.0,	12.749027252197266,	2.158295154571533,	171.95509338378906
5.0,	30862.0,	13.088096618652344,	2.366023540496826,	171.40284729003906
6.0,	30863.0,	11.399703979492188,	1.2520889043807983,	173.4368133544922
7.0,	30864.0,	11.814294815063477,	1.1591018438339233,	173.21238708496094
8.0,	30865.0,	11.7884521484375,	0.9917320013046265,	173.23312377929688
9.0,	30864.0,	11.814294815063477,	1.1591018438339233,	173.21238708496094
10.0,	30866.0,	12.16220474243164,	1.1151727437973022,	172.9365997314453
11.0,	30865.0,	11.7884521484375,	0.9917320013046265,	173.23312377929688
12.0,	30866.0,	12.16220474243164,	1.1151727437973022,	172.9365997314453
13.0,	30867.0,	12.153682708740234,	0.8087204694747925,	172.97132873535156
14.0,	30865.0,	11.7884521484375,	0.9917320013046265,	173.23312377929688
15.0,	30868.0,	12.561302185058594,	1.055686116218567,	172.50701904296875
16.0,	30867.0,	12.153682708740234,	0.8087204694747925,	172.97132873535156
17.0,	30866.0,	12.16220474243164,	1.1151727437973022,	172.9365997314453
18.0,	30867.0,	12.153682708740234,	0.8087204694747925,	172.97132873535156
19.0,	30868.0,	12.561302185058594,	1.055686116218567,	172.50701904296875
20.0,	30869.0,	12.555320739746094,	0.6309020519256592,	172.57586669921875
21.0,	30870.0,	12.986282348632812,	0.9689711332321167,	171.9600830078125
22.0,	30869.0,	12.555320739746094,	0.6309020519256592,	172.57586669921875
23.0,	30868.0,	12.561302185058594,	1.055686116218567,	172.50701904296875
24.0,	30869.0,	12.555320739746094,	0.6309020519256592,	172.57586669921875
25.0,	30870.0,	12.986282348632812,	0.9689711332321167,	171.9600830078125
26.0,	30871.0,	13.002510070800781,	0.4174309968948364,	172.05577087402344
27.0,	30872.0,	13.426658630371094,	0.8440828323364258,	171.3745574951172
28.0,	30871.0,	13.002510070800781,	0.4174309968948364,	172.05577087402344
29.0,	30870.0,	12.986282348632812,	0.9689711332321167,	171.9600830078125
30.0,	30871.0,	13.002510070800781,	0.4174309968948364,	172.05577087402344
31.0,	30872.0,	13.426658630371094,	0.8440828323364258,	171.3745574951172
32.0,	30873.0,	13.435684204101562,	0.21023738384246826,	171.48101806640625
33.0,	30870.0,	12.986282348632812,	0.9689711332321167,	171.9600830078125
34.0,	30874.0,	13.412681579589844,	0.9032492637634277,	171.3595733642578
35.0,	30872.0,	13.426658630371094,	0.8440828323364258,	171.3745574951172
36.0,	30875.0,	15.032390594482422,	0.1464904546737671,	167.1997528076172
37.0,	30876.0,	14.923385620117188,	0.38518083095550537,	168.43002319335938
38.0,	30877.0,	14.914779663085938,	0.19848859310150146,	167.18247985839844
39.0,	30877.0,	14.914779663085938,	0.19848859310150146,	167.18247985839844
40.0,	30878.0,	14.920768737792969,	-0.18934953212738037,	166.03013610839844
41.0,	30875.0,	15.032390594482422,	0.1464904546737671,	167.1997528076172
42.0,	30877.0,	14.914779663085938,	0.19848859310150146,	167.18247985839844
43.0,	30879.0,	14.781429290771484,	-0.09782052040100098,	165.99267578125
44.0,	30878.0,	14.920768737792969,	-0.18934953212738037,	166.03013610839844
45.0,	30879.0,	14.781429290771484,	-0.09782052040100098,	165.99267578125
46.0,	30880.0,	14.703041076660156,	-0.581375002861023,	165.09884643554688
47.0,	30878.0,	14.920768737792969,	-0.18934953212738037,	166.03013610839844
48.0,	30880.0,	14.703041076660156,	-0.581375002861023,	165.09884643554688
49.0,	30879.0,	14.781429290771484,	-0.09782052040100098,	165.99267578125
50.0,	30881.0,	14.558906555175781,	-0.5116297006607056,	165.0819549560547
51.0,	30881.0,	14.558906555175781,	-0.5116297006607056,	165.0819549560547
52.0,	30882.0,	14.353399276733398,	-1.1399914026260376,	164.11941528320312
