VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	22609.0,	12.962772369384766,	-2.399808883666992,	166.97869873046875
1.0,	22610.0,	12.753250122070312,	-2.820465564727783,	166.97320556640625
2.0,	22611.0,	13.187835693359375,	-2.3974618911743164,	166.5009002685547
3.0,	22612.0,	13.049118041992188,	-2.397372245788574,	167.0466766357422
4.0,	22613.0,	13.272720336914062,	-1.4070988893508911,	166.41448974609375
5.0,	22614.0,	12.962772369384766,	-2.399808883666992,	166.97869873046875
6.0,	22615.0,	13.335826873779297,	0.267361044883728,	166.7794647216797
7.0,	22616.0,	13.212467193603516,	0.2605811357498169,	166.75711059570312
8.0,	22617.0,	13.259796142578125,	-0.42762935161590576,	166.23623657226562
9.0,	22615.0,	13.335826873779297,	0.267361044883728,	166.7794647216797
10.0,	22618.0,	13.193222045898438,	0.4652146100997925,	166.22752380371094
11.0,	22616.0,	13.212467193603516,	0.2605811357498169,	166.75711059570312
12.0,	22619.0,	13.400909423828125,	-0.5045372247695923,	166.9401092529297
13.0,	22620.0,	13.259796142578125,	-0.42762935161590576,	166.23623657226562
14.0,	22621.0,	13.251270294189453,	-0.5149224996566772,	166.9056396484375
15.0,	22619.0,	13.400909423828125,	-0.5045372247695923,	166.9401092529297
16.0,	22621.0,	13.251270294189453,	-0.5149224996566772,	166.9056396484375
17.0,	22622.0,	13.266963958740234,	-0.7964745759963989,	166.40101623535156
18.0,	22623.0,	13.303665161132812,	-1.3188332319259644,	167.01150512695312
19.0,	22624.0,	13.152172088623047,	-1.3219572305679321,	166.9841766357422
20.0,	22625.0,	13.272720336914062,	-1.4070988893508911,	166.41448974609375
21.0,	22623.0,	13.303665161132812,	-1.3188332319259644,	167.01150512695312
22.0,	22626.0,	13.266963958740234,	-0.7964745759963989,	166.40101623535156
23.0,	22624.0,	13.152172088623047,	-1.3219572305679321,	166.9841766357422
24.0,	22627.0,	0.9227447509765625,	-8.69845199584961,	148.5458221435547
25.0,	22628.0,	1.1357650756835938,	-8.858867645263672,	148.69029235839844
26.0,	22629.0,	1.0413970947265625,	-8.764209747314453,	148.4479217529297
27.0,	22629.0,	1.0413970947265625,	-8.764209747314453,	148.4479217529297
28.0,	22630.0,	0.7261734008789062,	-8.573650360107422,	148.34524536132812
29.0,	22627.0,	0.9227447509765625,	-8.69845199584961,	148.5458221435547
30.0,	22630.0,	0.7261734008789062,	-8.573650360107422,	148.34524536132812
31.0,	22629.0,	1.0413970947265625,	-8.764209747314453,	148.4479217529297
32.0,	22631.0,	0.8996200561523438,	-8.624614715576172,	148.20187377929688
33.0,	22631.0,	0.8996200561523438,	-8.624614715576172,	148.20187377929688
34.0,	22632.0,	0.5807113647460938,	-8.481132507324219,	148.1511688232422
35.0,	22630.0,	0.7261734008789062,	-8.573650360107422,	148.34524536132812
36.0,	22632.0,	0.5807113647460938,	-8.481132507324219,	148.1511688232422
37.0,	22631.0,	0.8996200561523438,	-8.624614715576172,	148.20187377929688
38.0,	22633.0,	0.737884521484375,	-8.520712852478027,	148.01937866210938
39.0,	22634.0,	0.5850372314453125,	-8.453115463256836,	147.88685607910156
40.0,	22632.0,	0.5807113647460938,	-8.481132507324219,	148.1511688232422
41.0,	22633.0,	0.737884521484375,	-8.520712852478027,	148.01937866210938
42.0,	22632.0,	0.5807113647460938,	-8.481132507324219,	148.1511688232422
43.0,	22634.0,	0.5850372314453125,	-8.453115463256836,	147.88685607910156
44.0,	22635.0,	0.46466064453125,	-8.42424201965332,	147.99044799804688
45.0,	22636.0,	0.4486236572265625,	-8.41743278503418,	147.7854461669922
46.0,	22635.0,	0.46466064453125,	-8.42424201965332,	147.99044799804688
47.0,	22634.0,	0.5850372314453125,	-8.453115463256836,	147.88685607910156
48.0,	22635.0,	0.46466064453125,	-8.42424201965332,	147.99044799804688
49.0,	22636.0,	0.4486236572265625,	-8.41743278503418,	147.7854461669922
50.0,	22637.0,	0.3697662353515625,	-8.394453048706055,	147.8524627685547
51.0,	22638.0,	0.32367706298828125,	-8.41026496887207,	147.69366455078125
52.0,	22637.0,	0.3697662353515625,	-8.394453048706055,	147.8524627685547
53.0,	22636.0,	0.4486236572265625,	-8.41743278503418,	147.7854461669922
54.0,	22637.0,	0.3697662353515625,	-8.394453048706055,	147.8524627685547
55.0,	22638.0,	0.32367706298828125,	-8.41026496887207,	147.69366455078125
56.0,	22639.0,	0.28659820556640625,	-8.395713806152344,	147.7252197265625
57.0,	22638.0,	0.32367706298828125,	-8.41026496887207,	147.69366455078125
58.0,	22640.0,	0.2088623046875,	-8.420600891113281,	147.6105194091797
59.0,	22639.0,	0.28659820556640625,	-8.395713806152344,	147.7252197265625
60.0,	22641.0,	1.338531494140625,	-8.807819366455078,	149.69688415527344
61.0,	22642.0,	1.219818115234375,	-8.722654342651367,	149.66644287109375
62.0,	22643.0,	1.1874847412109375,	-8.739079475402832,	149.6858673095703
63.0,	22644.0,	1.1129379272460938,	-8.660072326660156,	149.61070251464844
64.0,	22643.0,	1.1874847412109375,	-8.739079475402832,	149.6858673095703
65.0,	22642.0,	1.219818115234375,	-8.722654342651367,	149.66644287109375
66.0,	22643.0,	1.1874847412109375,	-8.739079475402832,	149.6858673095703
67.0,	22644.0,	1.1129379272460938,	-8.660072326660156,	149.61070251464844
68.0,	22645.0,	1.0754928588867188,	-8.701250076293945,	149.6250457763672
69.0,	22646.0,	0.9669418334960938,	-8.67125129699707,	149.49749755859375
70.0,	22645.0,	1.0754928588867188,	-8.701250076293945,	149.6250457763672
71.0,	22644.0,	1.1129379272460938,	-8.660072326660156,	149.61070251464844
72.0,	22644.0,	1.1129379272460938,	-8.660072326660156,	149.61070251464844
73.0,	22647.0,	1.0063629150390625,	-8.616796493530273,	149.4875946044922
74.0,	22646.0,	0.9669418334960938,	-8.67125129699707,	149.49749755859375
75.0,	22648.0,	0.9301986694335938,	-8.603370666503906,	149.29953002929688
76.0,	22646.0,	0.9669418334960938,	-8.67125129699707,	149.49749755859375
77.0,	22647.0,	1.0063629150390625,	-8.616796493530273,	149.4875946044922
78.0,	22646.0,	0.9669418334960938,	-8.67125129699707,	149.49749755859375
79.0,	22648.0,	0.9301986694335938,	-8.603370666503906,	149.29953002929688
80.0,	22649.0,	0.8941650390625,	-8.658661842346191,	149.30616760253906
81.0,	22650.0,	0.9012069702148438,	-8.613980293273926,	149.08633422851562
82.0,	22649.0,	0.8941650390625,	-8.658661842346191,	149.30616760253906
83.0,	22648.0,	0.9301986694335938,	-8.603370666503906,	149.29953002929688
84.0,	22649.0,	0.8941650390625,	-8.658661842346191,	149.30616760253906
85.0,	22650.0,	0.9012069702148438,	-8.613980293273926,	149.08633422851562
86.0,	22651.0,	0.8610382080078125,	-8.668529510498047,	149.07696533203125
87.0,	22652.0,	0.9370498657226562,	-8.652338027954102,	148.89498901367188
88.0,	22651.0,	0.8610382080078125,	-8.668529510498047,	149.07696533203125
89.0,	22650.0,	0.9012069702148438,	-8.613980293273926,	149.08633422851562
90.0,	22651.0,	0.8610382080078125,	-8.668529510498047,	149.07696533203125
91.0,	22652.0,	0.9370498657226562,	-8.652338027954102,	148.89498901367188
92.0,	22653.0,	0.8905792236328125,	-8.702127456665039,	148.8876190185547
93.0,	22652.0,	0.9370498657226562,	-8.652338027954102,	148.89498901367188
