VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	0.0,	-16.52216148376465,	22.419586181640625,	17.950458526611328
1.0,	1.0,	-16.633272171020508,	22.370655059814453,	17.49285125732422
2.0,	2.0,	-16.00594711303711,	22.568788528442383,	17.14419174194336
3.0,	0.0,	-16.52216148376465,	22.419586181640625,	17.950458526611328
4.0,	2.0,	-16.00594711303711,	22.568788528442383,	17.14419174194336
5.0,	3.0,	-14.93621826171875,	22.9053955078125,	17.144437789916992
6.0,	3.0,	-14.93621826171875,	22.9053955078125,	17.144437789916992
7.0,	2.0,	-16.00594711303711,	22.568788528442383,	17.14419174194336
8.0,	4.0,	-14.765361785888672,	22.800655364990234,	16.32210350036621
9.0,	4.0,	-14.765361785888672,	22.800655364990234,	16.32210350036621
10.0,	5.0,	-12.95245361328125,	23.210411071777344,	15.776697158813477
11.0,	3.0,	-14.93621826171875,	22.9053955078125,	17.144437789916992
12.0,	4.0,	-14.765361785888672,	22.800655364990234,	16.32210350036621
13.0,	6.0,	-13.11905288696289,	23.066360473632812,	15.035989761352539
14.0,	5.0,	-12.95245361328125,	23.210411071777344,	15.776697158813477
15.0,	5.0,	-12.95245361328125,	23.210411071777344,	15.776697158813477
16.0,	6.0,	-13.11905288696289,	23.066360473632812,	15.035989761352539
17.0,	7.0,	-12.583234786987305,	23.26042938232422,	15.534662246704102
18.0,	8.0,	-11.285125732421875,	23.397977828979492,	13.276278495788574
19.0,	7.0,	-12.583234786987305,	23.26042938232422,	15.534662246704102
20.0,	6.0,	-13.11905288696289,	23.066360473632812,	15.035989761352539
21.0,	7.0,	-12.583234786987305,	23.26042938232422,	15.534662246704102
22.0,	9.0,	-11.485747337341309,	23.601749420166016,	17.104286193847656
23.0,	5.0,	-12.95245361328125,	23.210411071777344,	15.776697158813477
24.0,	10.0,	-12.175542831420898,	23.542110443115234,	17.650081634521484
25.0,	5.0,	-12.95245361328125,	23.210411071777344,	15.776697158813477
26.0,	9.0,	-11.485747337341309,	23.601749420166016,	17.104286193847656
27.0,	7.0,	-12.583234786987305,	23.26042938232422,	15.534662246704102
28.0,	8.0,	-11.285125732421875,	23.397977828979492,	13.276278495788574
29.0,	11.0,	-10.70216178894043,	23.40322494506836,	13.924363136291504
30.0,	9.0,	-11.485747337341309,	23.601749420166016,	17.104286193847656
