VTX,	IDX,	Position.x,	Position.y,	Position.z
0.0,	19047.0,	16.927749633789062,	-16.43633460998535,	90.60916137695312
1.0,	19048.0,	17.0474853515625,	-16.547571182250977,	90.31097412109375
2.0,	19049.0,	16.965599060058594,	-16.450265884399414,	90.34562683105469
3.0,	19050.0,	-6.610882759094238,	16.30999755859375,	91.34098815917969
4.0,	19051.0,	-6.663752555847168,	16.19738006591797,	91.10518646240234
5.0,	19052.0,	-6.733109474182129,	16.27618408203125,	91.02548217773438
6.0,	19053.0,	15.148689270019531,	-20.940444946289062,	105.94722747802734
7.0,	19054.0,	15.704822540283203,	-20.814754486083984,	105.71821594238281
8.0,	19055.0,	15.254142761230469,	-21.049930572509766,	105.28469848632812
9.0,	19055.0,	15.254142761230469,	-21.049930572509766,	105.28469848632812
10.0,	19056.0,	14.614707946777344,	-20.95151138305664,	106.14926147460938
11.0,	19053.0,	15.148689270019531,	-20.940444946289062,	105.94722747802734
12.0,	19057.0,	14.877922058105469,	-21.162334442138672,	104.92536926269531
13.0,	19056.0,	14.614707946777344,	-20.95151138305664,	106.14926147460938
14.0,	19055.0,	15.254142761230469,	-21.049930572509766,	105.28469848632812
15.0,	19058.0,	14.445083618164062,	-21.148658752441406,	104.51596069335938
16.0,	19056.0,	14.614707946777344,	-20.95151138305664,	106.14926147460938
17.0,	19057.0,	14.877922058105469,	-21.162334442138672,	104.92536926269531
18.0,	19058.0,	14.445083618164062,	-21.148658752441406,	104.51596069335938
19.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
20.0,	19056.0,	14.614707946777344,	-20.95151138305664,	106.14926147460938
21.0,	19058.0,	14.445083618164062,	-21.148658752441406,	104.51596069335938
22.0,	19060.0,	14.083885192871094,	-20.962085723876953,	104.12608337402344
23.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
24.0,	19061.0,	14.027069091796875,	-20.808361053466797,	106.37577819824219
25.0,	19056.0,	14.614707946777344,	-20.95151138305664,	106.14926147460938
26.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
27.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
28.0,	19060.0,	14.083885192871094,	-20.962085723876953,	104.12608337402344
29.0,	19062.0,	13.823707580566406,	-20.58789825439453,	103.73814392089844
30.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
31.0,	19063.0,	13.479095458984375,	-20.43157196044922,	106.59794616699219
32.0,	19061.0,	14.027069091796875,	-20.808361053466797,	106.37577819824219
33.0,	19059.0,	13.657493591308594,	-20.56769561767578,	105.9246597290039
34.0,	19062.0,	13.823707580566406,	-20.58789825439453,	103.73814392089844
35.0,	19064.0,	13.233512878417969,	-19.50027084350586,	105.57962799072266
