Element, data.x, data.y, data.z, data.w
0, 0.69655, -0.71629, -0.0419, 8.30422
1, 0.71626, 0.69071, 0.09943, -15.96465
2, -0.04228, -0.09927, 0.99416, -0.16359
3, 0.74399, -0.66305, 0.08276, -10.18111
4, 0.66662, 0.74501, -0.02396, 2.01272
5, -0.04577, 0.07299, 0.99628, -0.99004
6, 0.92348, -0.29869, -0.24078, 32.15074
7, 0.2708, 0.95204, -0.14242, 18.3509
8, 0.27177, 0.06632, 0.96007, 2.09401
9, 0.95194, -0.30103, -0.05654, 11.44812
10, 0.2942, 0.95, -0.10457, 14.00738
11, 0.0852, 0.08291, 0.99291, -0.61445
12, 0.87457, -0.45269, -0.17378, 24.33234
13, 0.43468, 0.89075, -0.13273, 16.16728
14, 0.21488, 0.04055, 0.9758, 0.5389
15, 0.98823, -0.14464, 0.04986, -1.0078
16, 0.14589, 0.98905, -0.02241, 5.26325
17, -0.04608, 0.02942, 0.9985, -0.60985
18, 0.98823, -0.1446, 0.04988, -1.01018
19, 0.14585, 0.98905, -0.02233, 5.25538
20, -0.04611, 0.02934, 0.99851, -0.60815
21, 0.70738, -0.70537, 0.04533, -3.96637
22, 0.70562, 0.70097, -0.10361, 12.43995
23, 0.04131, 0.10528, 0.99358, 1.50204
24, 0.70282, -0.71032, -0.03851, 7.65197
25, 0.70879, 0.70385, -0.04697, 5.23522
26, 0.06047, 0.00572, 0.99815, -0.70413
27, 0.70183, -0.70935, 0.06532, -6.54663
28, 0.70655, 0.68151, -0.19061, 23.15213
29, 0.0907, 0.17993, 0.97949, 4.34284
30, 0.70841, -0.70563, 0.01536, 0.07681
31, 0.70569, 0.70852, 0.00225, -1.77221
32, -0.01247, 0.00925, 0.99988, -0.30554
33, 0.68914, -0.72181, -0.06383, 10.7026
34, 0.72083, 0.69187, -0.04148, 4.77823
35, 0.0741, -0.01742, 0.9971, -0.25719
36, 0.69588, -0.70579, 0.1327, -15.19171
37, 0.71479, 0.69856, -0.03292, 1.20188
38, -0.06946, 0.11776, 0.99061, 3.61678
39, 0.71361, -0.70007, -0.0258, 5.96731
40, 0.69892, 0.71398, -0.04167, 4.38791
41, 0.0476, 0.0117, 0.9988, -0.92509
42, 0.70034, -0.70889, -0.08364, 13.75051
43, 0.68949, 0.70215, -0.17774, 20.43727
44, 0.18473, 0.06681, 0.98052, 0.58806
45, 0.87458, -0.45266, -0.1738, 24.31204
46, 0.43468, 0.89077, -0.13262, 16.16854
47, 0.21484, 0.04044, 0.97581, 0.53809
48, 0.8746, -0.45263, -0.17379, 24.33266
49, 0.43465, 0.89078, -0.13263, 16.15431
50, 0.21484, 0.04046, 0.97581, 0.53832
51, 0.69656, -0.71628, -0.04184, 8.29641
52, 0.71625, 0.69072, 0.09948, -15.97017
53, -0.04235, -0.09926, 0.99416, -0.16246
54, 0.63775, -0.74676, -0.18874, 28.85794
55, 0.72801, 0.66443, -0.16889, 20.54442
56, 0.25153, -0.0297, 0.96739, 0.94426
57, 0.81732, -0.55895, 0.1399, -18.32877
58, 0.56547, 0.82473, -0.00848, -3.09347
59, -0.11064, 0.08604, 0.99013, 1.12326
60, 0.84467, -0.53175, 0.06148, -7.94582
61, 0.52875, 0.81094, -0.2506, 27.53325
62, 0.0834, 0.24418, 0.96614, 6.48679
63, 0.80459, -0.5711, 0.16269, -21.53642
64, 0.55597, 0.82073, 0.13151, -22.19619
65, -0.20863, -0.01536, 0.97787, 1.93112
66, 0.73931, -0.60821, -0.28897, 43.33106
67, 0.6722, 0.64138, 0.36983, -54.13218
68, -0.03959, -0.46766, 0.88302, 21.94985
69, 0.74399, -0.66305, 0.08276, -10.18094
70, 0.66662, 0.74501, -0.02396, 2.01247
71, -0.04577, 0.07299, 0.99628, -0.99008
72, 0.82511, -0.44197, 0.35192, -45.74244
73, 0.55509, 0.75014, -0.35938, 51.77922
74, -0.10516, 0.49188, 0.86429, 25.90945
75, 0.6832, -0.72861, -0.04867, 9.27301
76, 0.72887, 0.67633, 0.10641, -17.04362
77, -0.04462, -0.10818, 0.99313, -0.03691
78, 0.88144, -0.42904, -0.19746, 31.70887
79, 0.43124, 0.9016, -0.03398, 4.12456
80, 0.1926, -0.0552, 0.97972, 2.00053
81, 0.68321, -0.7286, -0.04865, 9.28611
82, 0.72886, 0.67635, 0.10637, -17.05083
83, -0.0446, -0.10813, 0.99314, -0.02296
84, 0.74398, -0.66306, 0.08271, -10.44804
85, 0.66663, 0.745, -0.02393, 2.34824
86, -0.04575, 0.07294, 0.99629, -0.53004
87, 0.73977, -0.60781, -0.28864, 43.27824
88, 0.67169, 0.64175, 0.37012, -54.18024
89, -0.03973, -0.46768, 0.883, 21.95268
90, 0.82511, -0.44196, 0.35193, -45.74361
91, 0.55509, 0.75014, -0.3594, 51.78109
92, -0.10516, 0.4919, 0.86428, 25.91112
93, 0.87462, -0.45258, -0.17382, 24.33735
94, 0.43454, 0.8908, -0.13286, 16.18546
95, 0.21497, 0.04067, 0.97577, 0.54189
96, 0.87461, -0.45259, -0.17383, 24.33924
97, 0.43457, 0.89079, -0.13281, 16.17888
98, 0.21496, 0.04062, 0.97578, 0.54109
99, 0.87459, -0.45262, -0.17384, 24.33997
100, 0.4346, 0.89078, -0.1328, 16.17615
101, 0.21496, 0.04059, 0.97578, 0.54086
102, 0.69697, -0.71587, -0.04191, 8.30016
103, 0.7159, 0.69123, 0.09843, -15.82169
104, -0.04149, -0.0986, 0.99426, -0.18752
105, 0.75397, -0.63689, -0.16095, 24.78452
106, 0.65027, 0.75835, 0.04534, -8.40004
107, 0.09318, -0.13885, 0.98592, -0.10121
108, 0.69697, -0.71588, -0.04188, 8.29645
109, 0.7159, 0.69123, 0.09842, -15.82058
110, -0.04151, -0.09858, 0.99426, -0.18686
111, 0.6832, -0.72861, -0.04867, 9.27301
112, 0.72887, 0.67633, 0.10641, -17.04361
113, -0.04462, -0.10818, 0.99313, -0.03688
114, 0.82511, -0.44197, 0.35192, -45.74244
115, 0.55509, 0.75014, -0.35938, 51.77923
116, -0.10516, 0.49188, 0.86429, 25.90945
117, 0.87457, -0.45267, -0.17383, 24.33857
118, 0.4347, 0.89076, -0.13257, 16.14657
119, 0.21485, 0.04038, 0.97581, 0.53892
120, 0.69656, -0.71627, -0.04185, 8.29768
121, 0.71624, 0.69072, 0.0995, -15.97368
122, -0.04236, -0.09929, 0.99416, -0.16089
123, 0.73975, -0.60784, -0.28862, 43.27552
124, 0.67171, 0.64172, 0.37014, -54.18195
125, -0.03978, -0.46767, 0.88301, 21.95268
126, 0.99025, -0.06221, 0.12462, -19.56683
127, 0.06467, 0.99778, -0.01578, 1.88782
128, -0.12336, 0.02369, 0.99208, 0.59999
129, 0.98822, -0.14472, 0.0499, -1.01055
130, 0.14596, 0.98904, -0.02234, 5.25662
131, -0.04612, 0.02936, 0.9985, -0.60858
132, 0.95194, -0.30103, -0.05655, 11.44815
133, 0.2942, 0.95, -0.10457, 14.00739
134, 0.0852, 0.08291, 0.99291, -0.61445
135, 0.95194, -0.30103, -0.05654, 11.44812
136, 0.2942, 0.95, -0.10457, 14.00739
137, 0.0852, 0.08291, 0.99291, -0.61446
138, 0.99164, -0.12341, 0.03764, 3.07773
139, 0.11208, 0.96845, 0.22258, -19.77389
140, -0.06392, -0.21651, 0.97419, -1.02761
141, 0.99139, -0.11892, 0.05474, 1.64937
142, 0.11414, 0.98996, 0.08336, -7.52712
143, -0.06411, -0.0764, 0.99502, -1.32595
144, 0.95186, -0.30125, -0.05673, 11.46507
145, 0.29441, 0.94993, -0.10463, 14.01424
146, 0.08541, 0.0829, 0.99289, -0.61226
147, 0.95192, -0.30108, -0.05649, 11.4428
148, 0.29422, 0.94994, -0.10511, 14.06329
149, 0.08531, 0.08344, 0.99285, -0.61233
150, 0.95198, -0.30089, -0.05653, 11.44536
151, 0.29403, 0.95001, -0.10502, 14.05518
152, 0.0853, 0.08336, 0.99286, -0.61239
153, 0.95184, -0.30133, -0.05663, 11.45529
154, 0.29449, 0.9499, -0.10476, 14.02741
155, 0.08536, 0.08304, 0.99288, -0.61053
156, 0.99165, -0.12333, 0.03769, 3.07335
157, 0.11199, 0.96847, 0.22254, -19.76825
158, -0.06395, -0.21646, 0.9742, -1.02831
159, 0.25049, -0.94029, 0.23045, -37.14399
160, 0.95813, 0.27489, 0.08018, -17.62125
161, -0.13874, 0.20072, 0.96977, 6.27814
162, 0.24452, -0.9444, 0.21981, -35.90695
163, 0.96955, 0.23506, -0.06864, 0.86855
164, 0.01315, 0.2299, 0.97312, 7.7684
165, 0.68622, -0.70307, 0.18652, -21.26675
166, 0.72598, 0.67796, -0.11543, 11.45266
167, -0.04529, 0.21462, 0.97565, 6.97228
168, 0.6862, -0.70272, 0.18793, -21.4172
169, 0.72646, 0.67522, -0.12776, 12.78057
170, -0.03712, 0.22419, 0.97384, 7.46829
171, 0.69192, -0.7178, 0.07748, -8.17391
172, 0.70874, 0.65485, -0.26241, 31.2425
173, 0.13762, 0.23648, 0.96184, 7.5763
174, 0.68554, -0.72058, 0.10391, -11.10938
175, 0.70852, 0.62753, -0.32281, 37.33842
176, 0.1674, 0.29492, 0.94074, 10.94589
177, 0.68277, -0.71045, 0.17055, -19.88573
178, 0.73017, 0.67177, -0.12483, 12.47442
179, -0.02588, 0.20976, 0.97741, 6.99084
180, 0.27972, -0.92465, 0.2584, -39.46226
181, 0.93344, 0.19896, -0.29852, 26.52709
182, 0.22462, 0.32471, 0.91876, 19.5138
183, 0.94331, -0.3315, 0.01634, -4.15287
184, 0.32913, 0.94065, 0.08279, -18.48716
185, -0.04281, -0.07272, 0.99643, -0.38809
186, 0.94485, -0.31766, -0.07971, 7.95617
187, 0.32471, 0.94036, 0.10144, -20.92191
188, 0.04273, -0.12173, 0.99164, 1.94336
189, 0.68024, -0.72829, -0.08283, 13.76808
190, 0.70965, 0.68265, -0.17432, 20.54576
191, 0.1835, 0.0598, 0.9812, 0.60777
192, 0.66958, -0.73373, -0.11531, 16.39406
193, 0.7378, 0.67494, -0.01051, 1.62367
194, 0.08554, -0.07804, 0.99327, 0.83443
195, 0.65938, -0.74671, -0.0874, 14.33614
196, 0.73032, 0.66379, -0.16128, 19.73669
197, 0.17844, 0.04251, 0.98303, 0.66022
198, 0.63018, -0.74635, -0.21406, 26.14744
199, 0.77244, 0.63061, 0.07532, -6.31276
200, 0.07877, -0.21282, 0.97391, 4.04008
201, 0.64496, -0.75554, -0.11484, 17.04985
202, 0.74683, 0.655, -0.11498, 15.53077
203, 0.16209, -0.0116, 0.98671, 1.16857
204, 0.92289, -0.26808, -0.27643, 29.6216
205, 0.30852, 0.94434, 0.11422, -22.75785
206, 0.23042, -0.1907, 0.95422, 10.74636
207, 0.85403, -0.20712, -0.47721, 47.98943
208, 0.29266, 0.94969, 0.11155, -22.95057
209, 0.4301, -0.23493, 0.87168, 24.95347
210, 0.75153, -0.13706, -0.6453, 59.34319
211, 0.27238, 0.95538, 0.1143, -23.93242
212, 0.60084, -0.26167, 0.75533, 41.57851
213, 0.2738, -0.93289, 0.23399, -37.1991
214, 0.89564, 0.15865, -0.41553, 37.15189
215, 0.35052, 0.32334, 0.87897, 26.37749
216, 0.26465, -0.93902, 0.21956, -36.23775
217, 0.88779, 0.14834, -0.4357, 38.57493
218, 0.37656, 0.31023, 0.8729, 27.25812
219, 0.7869, -0.6071, -0.11057, 17.7674
220, 0.61401, 0.78817, 0.04218, -7.02461
221, 0.06154, -0.10108, 0.99297, -0.09921
222, 0.76905, -0.62174, -0.14835, 22.92992
223, 0.63313, 0.77285, 0.04311, -7.64438
224, 0.08785, -0.12707, 0.988, -0.17583
225, 2.80446E-11, 8.14154E-43, 0.00, -2.13771E-07
226, -2.68416E+24, 8.11352E-43, 2.80260E-45, 4.13338E+28
227, 1.73621E-42, 1.77545E-42, 1.73481E-42, 1.73481E-42
228, -5.90413E-35, 8.11352E-43, 2.80260E-45, 1.44617E+18
229, 4.98850E-36, 8.12753E-43, 5.60519E-45, 2.92671E+10
230, 2.83135E-11, 8.14154E-43, 1.40130E-45, 8.46213E+25
231, 2.80488E-11, 8.14154E-43, 0.00, -8.62705E-16
232, 2.80846E-11, 8.14154E-43, 0.00, -1.21844E-36
233, 2.81089E-11, 8.14154E-43, 0.00, -4.98402E-16
234, 1.77264E-42, 1.73341E-42, 1.78666E-42, 1.73761E-42
235, 1.66867E-27, 8.12753E-43, 5.60519E-45, 1.70998E+10
236, -1.26319E+07, 8.12753E-43, 5.60519E-45, 1.59073E+16
237, 1.78806E-42, 1.75302E-42, 1.78525E-42, 1.77404E-42
238, -1.25352E+07, 8.12753E-43, 2.52234E-44, NaN
239, 2.80287E-11, 8.14154E-43, 0.00, -2.40133E-12
240, 4.99308E-36, 8.12753E-43, 2.80260E-45, 24.20242
241, -5.95648E-35, 8.11352E-43, 1.40130E-45, 81501.11719
242, -5.89785E-35, 8.11352E-43, 2.80260E-45, 3.32383E+38
243, 2.81142E-11, 8.14154E-43, 0.00, -1.58100E-08
244, 2.80287E-11, 8.14154E-43, 0.00, -0.00013
245, 4.96975E-36, 8.12753E-43, 2.80260E-45, 1.47234E+29
246, 2.82935E-11, 8.14154E-43, 1.40130E-45, 6.48432E+16
247, 2.80034E-11, 8.14154E-43, 0.00, -0.00013
248, 2.83061E-11, 8.14154E-43, 5.60519E-45, 4.29453E+21
249, 1.73200E-42, 1.75162E-42, 1.78946E-42, 1.73200E-42
250, 2.80319E-11, 8.14154E-43, 1.40130E-45, 1.41934E+29
251, 2.80984E-11, 8.14154E-43, 0.00, -1.58100E-08
252, -1.25589E+07, 8.12753E-43, 3.78351E-44, 3.28995
253, 2.80498E-11, 8.14154E-43, 0.00, -2.03430E-22
254, 1.76984E-42, 1.86793E-42, 1.76844E-42, 1.79226E-42
255, 2.80256E-11, 8.14154E-43, 0.00, -7.81937E-29
256, 1.79226E-42, 1.75022E-42, 1.79366E-42, 1.81748E-42
257, 1.73060E-42, 1.79366E-42, 1.75022E-42, 1.79086E-42
258, 2.79085E-11, 8.14154E-43, 4.20390E-45, 1.37663E+20
259, 2.80066E-11, 8.14154E-43, 0.00, -8.05538E-20
260, 1.79226E-42, 1.73060E-42, 1.81889E-42, 1.82029E-42
261, -1.77006E-10, 8.11352E-43, 8.40779E-44, 1.46925E+18
262, -1.05409E-11, 8.11352E-43, 5.60519E-45, 4.39262E+16
263, 2.80509E-11, 8.14154E-43, 0.00, -2.13771E-07
264, 2.80066E-11, 8.14154E-43, 0.00, -4.03714E-16
265, 2.82576E-11, 8.14154E-43, 4.20390E-45, 1.08646E+36
266, 2.80562E-11, 8.14154E-43, 1.40130E-45, 2.65740E+24
267, 2.80393E-11, 8.14154E-43, 0.00, -7.81937E-29
268, 1.72920E-42, 1.76564E-42, 1.74181E-42, 1.79506E-42
269, -1.25413E+07, 8.12753E-43, 2.80260E-45, 3.82264E+16
270, 4.98283E-36, 8.12753E-43, 1.40130E-45, 1.91360E+08
271, 4.97564E-36, 8.12753E-43, 2.80260E-45, 2.27855E+33
272, 2.81131E-11, 8.14154E-43, 0.00, -0.38681
273, 2.79728E-11, 8.14154E-43, 1.40130E-45, 2.70839E+19
274, 2.83125E-11, 8.14154E-43, 5.60519E-45, 6.60927E+25
275, 4.99592E-36, 8.12753E-43, 7.00649E-45, 1.53405E+20
276, 1.47354E-27, 8.12753E-43, 2.80260E-45, 1526.45923
277, 1.79787E-42, 1.81328E-42, 1.72780E-42, 1.74742E-42
278, -7.46556E-35, 8.11352E-43, 8.40779E-45, 4.53304
279, 2.80171E-11, 8.14154E-43, 0.00, -2.13771E-07
280, 1.81328E-42, 1.72640E-42, 1.74462E-42, 1.80207E-42
281, 1.80067E-42, 1.74462E-42, 1.72640E-42, 1.76003E-42
282, 2.80509E-11, 8.14154E-43, 0.00, -2.40133E-12
283, 2.80446E-11, 8.14154E-43, 2.80260E-45, 7.25178E+09
284, 1.79927E-42, 1.76003E-42, 1.80067E-42, 1.76143E-42
285, -2.61958E+17, 8.11352E-43, 8.14154E-43, 2.13413E+31
286, -3.07264E-35, 8.11352E-43, 2.80260E-45, 7.43771E+35
287, 2.81089E-11, 8.14154E-43, 0.00, -9.58610E-16
