Element, data.x, data.y, data.z, data.w
0, 0.95194, -0.30103, -0.05654, 11.44812
1, 0.2942, 0.95, -0.10457, 14.00738
2, 0.0852, 0.08291, 0.99291, -0.61445
3, 0.99164, -0.12341, 0.03764, 3.07773
4, 0.11208, 0.96845, 0.22258, -19.77389
5, -0.06392, -0.21651, 0.97419, -1.02761
6, 0.99165, -0.12333, 0.03769, 3.07335
7, 0.11199, 0.96847, 0.22254, -19.76825
8, -0.06395, -0.21646, 0.9742, -1.02831
9, 0.99139, -0.11892, 0.05474, 1.64937
10, 0.11414, 0.98996, 0.08336, -7.52712
11, -0.06411, -0.0764, 0.99502, -1.32595
12, 0.92348, -0.29869, -0.24078, 32.15074
13, 0.2708, 0.95204, -0.14242, 18.3509
14, 0.27177, 0.06632, 0.96007, 2.09401
15, 0.87457, -0.45269, -0.17378, 24.33234
16, 0.43468, 0.89075, -0.13273, 16.16728
17, 0.21488, 0.04055, 0.9758, 0.5389
18, 0.95184, -0.30133, -0.05663, 11.45529
19, 0.29449, 0.9499, -0.10476, 14.02741
20, 0.08536, 0.08304, 0.99288, -0.61053
21, 0.98823, -0.14464, 0.04986, -1.0078
22, 0.14589, 0.98905, -0.02241, 5.26325
23, -0.04608, 0.02942, 0.9985, -0.60985
24, 0.95186, -0.30125, -0.05673, 11.46507
25, 0.29441, 0.94993, -0.10463, 14.01424
26, 0.08541, 0.0829, 0.99289, -0.61226
27, 0.95198, -0.30089, -0.05653, 11.44536
28, 0.29403, 0.95001, -0.10502, 14.05518
29, 0.0853, 0.08336, 0.99286, -0.61239
30, 0.95192, -0.30108, -0.05649, 11.4428
31, 0.29422, 0.94994, -0.10511, 14.06329
32, 0.08531, 0.08344, 0.99285, -0.61233
33, 0.98822, -0.14472, 0.0499, -1.01055
34, 0.14596, 0.98904, -0.02234, 5.25662
35, -0.04612, 0.02936, 0.9985, -0.60858
36, 0.98823, -0.1446, 0.04988, -1.01018
37, 0.14585, 0.98905, -0.02233, 5.25538
38, -0.04611, 0.02934, 0.99851, -0.60815
39, 0.9907, -0.06201, 0.12108, -18.94726
40, 0.06457, 0.99776, -0.01727, 2.1495
41, -0.11974, 0.02493, 0.99249, 0.52756
42, 0.82511, -0.44197, 0.35192, -45.74244
43, 0.55509, 0.75014, -0.35938, 51.77922
44, -0.10516, 0.49188, 0.86429, 25.90945
45, 0.6832, -0.72861, -0.04867, 9.27301
46, 0.72887, 0.67633, 0.10641, -17.04362
47, -0.04462, -0.10818, 0.99313, -0.03691
48, 0.69655, -0.71629, -0.0419, 8.30422
49, 0.71626, 0.69071, 0.09943, -15.96465
50, -0.04228, -0.09927, 0.99416, -0.16359
51, 0.70841, -0.70563, 0.01536, 0.07681
52, 0.70569, 0.70852, 0.00225, -1.77221
53, -0.01247, 0.00925, 0.99988, -0.30554
54, 0.80459, -0.5711, 0.16269, -21.53642
55, 0.55597, 0.82073, 0.13151, -22.19619
56, -0.20863, -0.01536, 0.97787, 1.93112
57, 0.88144, -0.42904, -0.19746, 31.70887
58, 0.43124, 0.9016, -0.03398, 4.12456
59, 0.1926, -0.0552, 0.97972, 2.00053
60, 0.68321, -0.7286, -0.04865, 9.28611
61, 0.72886, 0.67635, 0.10637, -17.05083
62, -0.0446, -0.10813, 0.99314, -0.02296
63, 0.82511, -0.44196, 0.35193, -45.74361
64, 0.55509, 0.75014, -0.3594, 51.78109
65, -0.10516, 0.4919, 0.86428, 25.91112
66, 0.25049, -0.94029, 0.23045, -37.14399
67, 0.95813, 0.27489, 0.08018, -17.62125
68, -0.13874, 0.20072, 0.96977, 6.27814
69, 0.73931, -0.60821, -0.28897, 43.33106
70, 0.6722, 0.64138, 0.36983, -54.13218
71, -0.03959, -0.46766, 0.88302, 21.94985
72, 0.74399, -0.66305, 0.08276, -10.18094
73, 0.66662, 0.74501, -0.02396, 2.01247
74, -0.04577, 0.07299, 0.99628, -0.99008
75, 0.71361, -0.70007, -0.0258, 5.96731
76, 0.69892, 0.71398, -0.04167, 4.38791
77, 0.0476, 0.0117, 0.9988, -0.92509
78, 0.74398, -0.66306, 0.08271, -10.44804
79, 0.66663, 0.745, -0.02393, 2.34824
80, -0.04575, 0.07294, 0.99629, -0.53004
81, 0.73977, -0.60781, -0.28864, 43.27824
82, 0.67169, 0.64175, 0.37012, -54.18024
83, -0.03973, -0.46768, 0.883, 21.95268
84, 0.94331, -0.3315, 0.01634, -4.15287
85, 0.32913, 0.94065, 0.08279, -18.48716
86, -0.04281, -0.07272, 0.99643, -0.38809
87, 0.7869, -0.6071, -0.11057, 17.7674
88, 0.61401, 0.78817, 0.04218, -7.02461
89, 0.06154, -0.10108, 0.99297, -0.09921
