Element, data.x, data.y, data.z, data.w
0, 0.99191, 0.07899, 0.09937, -0.17095
1, -0.07957, 0.99683, 0.00187, 0.51836
2, -0.0989, -0.00976, 0.99505, 0.66075
3, 0.99191, 0.07899, 0.09937, -0.17095
4, -0.07957, 0.99683, 0.00187, 0.51836
5, -0.0989, -0.00976, 0.99505, 0.66075
6, 0.99222, 0.07879, 0.09636, -0.69788
7, -0.07747, 0.99684, -0.01735, 0.62176
8, -0.09742, 0.00975, 0.9952, 0.65001
9, 0.99222, 0.07879, 0.09636, -0.69789
10, -0.07747, 0.99684, -0.01735, 0.62176
11, -0.09742, 0.00975, 0.9952, 0.65001
12, 0.99191, 0.07899, 0.09937, -0.17095
13, -0.07957, 0.99683, 0.00187, 0.51836
14, -0.0989, -0.00976, 0.99505, 0.66075
15, 0.99222, 0.07879, 0.09636, -0.69789
16, -0.07747, 0.99684, -0.01735, 0.62176
17, -0.09742, 0.00975, 0.9952, 0.65001
18, 1.00, -5.96047E-08, 0.00, 0.00
19, 5.96047E-08, 1.00, 0.00, 0.00
20, 0.00, 0.00, 1.00, 0.00
21, 0.99697, 0.03597, 0.069, -0.20084
22, -0.03488, 0.99925, -0.01697, 0.31807
23, -0.06955, 0.01451, 0.99747, 0.53289
24, 0.99733, 0.03426, 0.06457, -0.18704
25, -0.02935, 0.99671, -0.07561, 0.56463
26, -0.06694, 0.07351, 0.99505, 0.72941
27, 0.99892, 0.00255, 0.04645, -0.21589
28, 0.00262, 0.99384, -0.1108, 0.51419
29, -0.04645, 0.1108, 0.99276, 0.72968
30, 1.00, -0.00006, -0.00006, 0.00018
31, 0.00006, 1.00, -0.00006, -0.00023
32, 0.00006, 0.00006, 1.00, -0.00041
33, 0.99954, -0.00703, 0.02941, -0.16782
34, 0.00654, 0.99984, 0.01657, -0.12778
35, -0.02952, -0.01637, 0.99943, 0.1464
36, 0.9998, 0.0168, 0.01129, 0.00251
37, -0.01688, 0.99983, 0.00728, 0.07728
38, -0.01116, -0.00747, 0.99991, 0.05033
39, 0.99447, 0.02165, 0.10281, -0.40165
40, -0.01223, 0.99574, -0.09141, 0.52441
41, -0.10435, 0.08965, 0.99049, 1.0605
42, 0.99785, 0.02311, 0.0613, -0.21233
43, -0.02285, 0.99973, -0.005, 0.17857
44, -0.0614, 0.00358, 0.99811, 0.43702
45, 0.99721, 0.02935, 0.06866, -0.42439
46, -0.03025, 0.99947, 0.01207, 0.14613
47, -0.06827, -0.01411, 0.99757, 0.5224
48, 0.99731, -0.00243, 0.07332, -0.33943
49, -0.00348, 0.99677, 0.08028, -0.36621
50, -0.07327, -0.08032, 0.99407, 0.80023
51, 0.99892, -0.00262, 0.04644, -0.21543
52, -0.00254, 0.99385, 0.11072, -0.51446
53, -0.04645, -0.11072, 0.99277, 0.7292
54, 0.99936, 0.02833, 0.02178, -0.20161
55, -0.02805, 0.99952, -0.01307, 0.2565
56, -0.02214, 0.01245, 0.99968, 0.10877
57, 0.99458, 0.00195, 0.10397, -0.48877
58, -0.01115, 0.99606, 0.08799, -0.35038
59, -0.10339, -0.08868, 0.99068, 1.04943
60, 0.9978, 0.022, 0.06256, -0.37265
61, -0.02218, 0.99975, 0.00212, 0.14029
62, -0.0625, -0.0035, 0.99804, 0.44458
63, 0.99993, -0.00388, 0.01105, -0.04155
64, 0.00396, 0.99996, -0.0075, 0.01058
65, -0.01102, 0.00754, 0.99991, 0.04911
66, 1.00, -0.00006, -0.00006, 0.00039
67, 0.00006, 1.00, -0.00006, -0.00023
68, 0.00006, 0.00006, 1.00, -0.00062
69, 0.00, 0.00, 1.02856E-38, 0.00
70, 0.00, 0.00, 1.02856E-38, 0.00
71, 0.00, 0.00, 1.02856E-38, 0.00
72, 0.00, 0.00, 7.34280E-43, 0.00
73, -3.23168E-09, 8.12753E-43, -3.23177E-09, 8.12753E-43
74, 0.00, 0.00, 1.03543, -5.56035E-41
75, 0.00, 0.00, 0.00, 0.00
76, 1.40130E-45, 4.55646E-41, 2.10943, 1.68156E-44
77, 7.52316E-37, 0.00, 3.67363E-40, 2.80260E-45
78, 7.52316E-37, 0.00, 3.67461E-40, 2.80260E-45
79, 7.52316E-37, 0.00, 9.21550E-41, 2.80260E-45
80, 7.52316E-37, 0.00, 9.21550E-41, 2.84464E-43
81, 0.00, 0.00, 1.02856E-38, 0.00
82, 0.00, 0.00, 1.02856E-38, 0.00
83, 0.00, 0.00, 1.02856E-38, 0.00
84, 0.00, 0.00, 1.02856E-38, 0.00
85, 0.00, 0.00, 7.48293E-43, 4.59163E-41
86, -3.23210E-09, 8.12753E-43, -3.23113E-09, 8.12753E-43
87, 0.00, 0.00, 1.13706, -5.59623E-41
88, 0.00, 0.00, 0.00, 0.00
89, 3.92364E-44, 4.55604E-41, 6.43168E-40, 9.24857E-44
90, 7.52316E-37, 0.00, 9.18467E-41, 2.80260E-45
91, 7.52316E-37, 0.00, 1.51643E-36, 2.80260E-45
92, 7.52316E-37, 0.00, 9.21550E-41, 2.80260E-45
93, 7.52316E-37, 0.00, 9.21550E-41, -127.00
94, 0.00, 0.00, 1.02856E-38, 0.00
95, 0.00, 0.00, 1.02856E-38, 0.00
