Element, data.x, data.y, data.z, data.w
0, 1.00, -0.00006, -0.00006, -0.00004
1, 0.00006, 1.00, -0.00006, -0.00057
2, 0.00006, 0.00006, 1.00, -0.00053
3, 1.00, -4.60446E-06, 0.00003, 0.00001
4, 4.60687E-06, 1.00, -0.00009, -0.00007
5, -0.00003, 0.00009, 1.00, 0.00018
6, 1.00, -4.60818E-06, -0.00002, -7.62939E-06
7, 4.59362E-06, 1.00, -0.00009, -0.00007
8, 0.00002, 0.00009, 1.00, -0.00022
9, 1.00, -0.00006, -0.00006, -0.00002
10, 0.00006, 1.00, -0.00006, -0.00055
11, 0.00006, 0.00006, 1.00, -0.00053
12, 1.00, -0.00003, -0.00004, 0.00019
13, 0.00003, 1.00, -0.00003, -0.00011
14, 0.00004, 0.00003, 1.00, -0.00032
15, 1.00, -0.00015, -0.00019, 0.0008
16, 0.00015, 1.00, -0.0001, -0.00083
17, 0.00019, 0.0001, 1.00, -0.00155
18, 1.00, -0.00004, -0.00008, 0.00036
19, 0.00004, 1.00, -0.00003, -0.00013
20, 0.00008, 0.00003, 1.00, -0.00059
21, 1.00, -0.00025, -0.00024, 0.00038
22, 0.00025, 1.00, -0.00007, -0.00168
23, 0.00024, 0.00007, 1.00, -0.00172
24, 1.00, -0.00008, -0.00008, 0.0001
25, 0.00008, 1.00, -0.00002, -0.00049
26, 0.00008, 0.00002, 1.00, -0.00054
27, 1.00, -0.00003, 0.00002, -0.00009
28, 0.00003, 1.00, 0.00003, -0.00046
29, -0.00002, -0.00003, 1.00, 0.00022
30, 1.00, -0.00009, 0.00005, -0.00012
31, 0.00009, 1.00, 0.0001, -0.00143
32, -0.00005, -0.0001, 1.00, 0.00071
33, 1.00, -0.00005, 0.00001, 0.00011
34, 0.00005, 1.00, 0.00003, -0.00068
35, -0.00001, -0.00003, 1.00, 0.00022
36, 1.00, -0.00001, 0.00002, -0.00009
37, 0.00001, 1.00, 0.00007, -0.00061
38, -0.00002, -0.00007, 1.00, 0.00057
39, 1.00, -9.03010E-06, 4.73857E-06, 0.00002
40, 8.94070E-06, 1.00, 0.00002, -0.00021
41, -4.77694E-06, -0.00002, 1.00, 0.00016
42, 0.99697, 0.03597, 0.069, -0.20084
43, -0.03488, 0.99925, -0.01697, 0.31807
44, -0.06955, 0.01451, 0.99747, 0.53289
45, 1.00, -5.96047E-08, 0.00, 0.00
46, 5.96047E-08, 1.00, 0.00, 0.00
47, 0.00, 0.00, 1.00, 0.00
48, 0.99954, -0.00703, 0.02941, -0.16782
49, 0.00654, 0.99984, 0.01657, -0.12778
50, -0.02952, -0.01637, 0.99943, 0.1464
51, 0.99733, 0.03426, 0.06457, -0.18704
52, -0.02935, 0.99671, -0.07561, 0.56463
53, -0.06694, 0.07351, 0.99505, 0.72941
54, 1.00, -0.00006, -0.00006, 0.00018
55, 0.00006, 1.00, -0.00006, -0.00023
56, 0.00006, 0.00006, 1.00, -0.00041
57, 1.00, -0.00006, -0.00006, 0.00008
58, 0.00006, 1.00, -0.00006, -0.0001
59, 0.00006, 0.00006, 1.00, -0.00017
60, 1.00, -0.00008, -0.00013, -0.00017
61, 0.00008, 1.00, -0.00002, -0.00077
62, 0.00013, 0.00002, 1.00, -0.02494
