Element, data.x, data.y, data.z, data.w
0, 0.99026, -0.06221, 0.12457, -19.5588
1, 0.06467, 0.99778, -0.01579, 1.8884
2, -0.12331, 0.02369, 0.99209, 0.59932
3, 0.99551, -0.07156, 0.06202, -9.05472
4, 0.07176, 0.99742, -0.00105, -0.67319
5, -0.06179, 0.0055, 0.99807, -1.06052
6, 0.98912, -0.05331, 0.13711, -21.55463
7, 0.05436, 0.99851, -0.00394, 0.18808
8, -0.1367, 0.01135, 0.99055, 0.97569
9, 0.98513, -0.09383, 0.14391, -22.41122
10, 0.09636, 0.99529, -0.01068, 0.66486
11, -0.14223, 0.02439, 0.98953, 1.1409
12, 0.99159, -0.0687, 0.10968, -16.99845
13, 0.07019, 0.99748, -0.00984, 0.83583
14, -0.10872, 0.01745, 0.99392, 0.21075
15, 0.98427, -0.05299, 0.16851, -26.59777
16, 0.04284, 0.99708, 0.06327, -10.79274
17, -0.17137, -0.05506, 0.98367, 2.93349
18, 0.97997, -0.0234, 0.19777, -31.29789
19, -0.00381, 0.99069, 0.13611, -21.66582
20, -0.19911, -0.13414, 0.97075, 5.68945
21, 9.18355E-41, 2.35106E-38, 8.40779E-45, 0.00
22, 1.07737E+27, 4.59163E-41, 1.40130E-45, 0.00
23, -3.74884E-21, 8.12753E-43, 1.86655E-25, 8.14154E-43
