Element, data.x, data.y, data.z, data.w
0, 0.99087, -0.12396, 0.05294, 2.13811
1, 0.10916, 0.96839, 0.22429, -19.87362
2, -0.07907, -0.21646, 0.97308, -0.93425
3, 0.99802, -0.01582, 0.06092, 2.61146
4, 0.01441, 0.99962, 0.02356, -17.2651
5, -0.06127, -0.02263, 0.99786, -0.2134
6, 0.99808, -0.01576, 0.05989, 2.62447
7, 0.01437, 0.99962, 0.0235, -17.26446
8, -0.06024, -0.0226, 0.99793, -0.2142
9, 0.99961, -0.01929, 0.02022, 2.63859
10, 0.01883, 0.99956, 0.02281, -17.27723
11, -0.02065, -0.02242, 0.99953, -0.33149
12, 0.99805, -0.01587, 0.06041, 2.60147
13, 0.01447, 0.99962, 0.02349, -17.264
14, -0.06076, -0.02257, 0.9979, -0.205
15, 0.9874, -0.14409, 0.06543, -1.96385
16, 0.14567, 0.98913, -0.0201, 5.12201
17, -0.06183, 0.02938, 0.99765, -0.53103
18, 0.99979, -0.01697, 0.01157, -1.85264
19, 0.01694, 0.99985, 0.0029, 4.36714
20, -0.01162, -0.0027, 0.99993, -0.24498
21, 0.99979, -0.01699, 0.0116, -1.67821
22, 0.01696, 0.99985, 0.00291, 4.37017
23, -0.01165, -0.00271, 0.99993, -0.30161
24, 0.99978, -0.01751, 0.01162, -1.84971
25, 0.01748, 0.99984, 0.00264, 4.36596
26, -0.01166, -0.00244, 0.99993, -0.24633
27, 0.99872, -0.01687, 0.04767, -2.36812
28, 0.01672, 0.99985, 0.00367, 4.35498
29, -0.04772, -0.00287, 0.99886, -0.43176
30, 0.00, 0.00, 0.00, 0.00
31, 0.00, 0.00, 0.00, 0.00
32, 0.00, 0.00, 0.00, 0.00
33, 0.00, 0.00, 0.00, 0.00
34, 0.00, 0.00, 0.00, 0.00
35, 0.00, 0.00, 0.00, 0.00
36, 0.00, 0.00, 0.00, 0.00
37, 0.00, 0.00, 0.00, 0.00
38, 0.00, 0.00, 0.00, 0.00
39, 0.00, 0.00, 0.00, 0.00
40, 0.00, 0.00, 0.00, 0.00
41, 0.00, 0.00, 0.00, 0.00
42, 0.00, 0.00, 0.00, 0.00
43, 0.00, 0.00, 0.00, 0.00
44, 0.00, 0.00, 0.00, 0.00
45, 0.00, 0.00, 0.00, 0.00
46, 0.00, 0.00, 0.00, 8.12247E+23
47, -2.19245E-29, 3.89284E-39, 4.68366E-39, 7.98969E-39
