Element, data.x, data.y, data.z, data.w
0, 0.95194, -0.30103, -0.05654, 11.44812
1, 0.2942, 0.95, -0.10457, 14.00738
2, 0.0852, 0.08291, 0.99291, -0.61445
3, 0.92348, -0.29869, -0.24078, 32.15074
4, 0.2708, 0.95204, -0.14242, 18.3509
5, 0.27177, 0.06632, 0.96007, 2.09401
6, 0.95184, -0.30133, -0.05663, 11.45529
7, 0.29449, 0.9499, -0.10476, 14.02741
8, 0.08536, 0.08304, 0.99288, -0.61053
9, 0.99164, -0.12341, 0.03764, 3.07773
10, 0.11208, 0.96845, 0.22258, -19.77389
11, -0.06392, -0.21651, 0.97419, -1.02761
12, 0.95186, -0.30125, -0.05673, 11.46507
13, 0.29441, 0.94993, -0.10463, 14.01424
14, 0.08541, 0.0829, 0.99289, -0.61226
15, 0.99165, -0.12333, 0.03769, 3.07335
16, 0.11199, 0.96847, 0.22254, -19.76825
17, -0.06395, -0.21646, 0.9742, -1.02831
18, 0.87457, -0.45269, -0.17378, 24.33234
19, 0.43468, 0.89075, -0.13273, 16.16728
20, 0.21488, 0.04055, 0.9758, 0.5389
21, 0.98823, -0.14464, 0.04986, -1.0078
22, 0.14589, 0.98905, -0.02241, 5.26325
23, -0.04608, 0.02942, 0.9985, -0.60985
24, 0.95198, -0.30089, -0.05653, 11.44536
25, 0.29403, 0.95001, -0.10502, 14.05518
26, 0.0853, 0.08336, 0.99286, -0.61239
27, 0.95192, -0.30108, -0.05649, 11.4428
28, 0.29422, 0.94994, -0.10511, 14.06329
29, 0.08531, 0.08344, 0.99285, -0.61233
30, 0.98822, -0.14472, 0.0499, -1.01055
31, 0.14596, 0.98904, -0.02234, 5.25662
32, -0.04612, 0.02936, 0.9985, -0.60858
33, 0.69655, -0.71629, -0.0419, 8.30422
34, 0.71626, 0.69071, 0.09943, -15.96465
35, -0.04228, -0.09927, 0.99416, -0.16359
36, 0.99087, -0.12396, 0.05294, 2.13797
37, 0.10916, 0.96839, 0.22429, -19.87365
38, -0.07907, -0.21646, 0.97308, -0.93423
39, 0.9914, -0.1236, 0.04301, 2.88627
40, 0.11105, 0.96843, 0.22318, -19.796
41, -0.06924, -0.21649, 0.97383, -1.01969
42, 0.9914, -0.12359, 0.04294, 2.66165
43, 0.11106, 0.96844, 0.22314, -19.81654
44, -0.06917, -0.21645, 0.97384, -0.9597
45, 0.99139, -0.11892, 0.05474, 1.64937
46, 0.11414, 0.98996, 0.08336, -7.52712
47, -0.06411, -0.0764, 0.99502, -1.32595
48, 0.9874, -0.14409, 0.06543, -1.96413
49, 0.14567, 0.98913, -0.0201, 5.12196
50, -0.06183, 0.02938, 0.99765, -0.53098
51, 0.98792, -0.14474, 0.05539, -1.20411
52, 0.14612, 0.98903, -0.02162, 5.23476
53, -0.05165, 0.02945, 0.99823, -0.60517
54, 0.98797, -0.14446, 0.05525, -1.43195
55, 0.14583, 0.98907, -0.02158, 5.20545
56, -0.05153, 0.02938, 0.99824, -0.54807
57, 0.98823, -0.1446, 0.04988, -1.01018
58, 0.14585, 0.98905, -0.02233, 5.25538
59, -0.04611, 0.02934, 0.99851, -0.60815
60, 0.82511, -0.44197, 0.35192, -45.74244
61, 0.55509, 0.75014, -0.35938, 51.77923
62, -0.10516, 0.49188, 0.86429, 25.90945
63, 0.6832, -0.72861, -0.04867, 9.27301
64, 0.72887, 0.67633, 0.10641, -17.04361
65, -0.04462, -0.10818, 0.99313, -0.03688
66, 0.82511, -0.44196, 0.35193, -45.74361
67, 0.55509, 0.75014, -0.3594, 51.78109
68, -0.10516, 0.4919, 0.86428, 25.91112
69, 0.95932, -0.23346, 0.15878, -15.17322
70, 0.28086, 0.84654, -0.45221, 66.56828
71, -0.02884, 0.47841, 0.87766, 23.76777
72, 0.93814, -0.28074, 0.20268, -22.1238
73, 0.34323, 0.83125, -0.43729, 64.18568
74, -0.04571, 0.4798, 0.87618, 24.00705
75, 0.9379, -0.21858, 0.26938, -28.96655
76, 0.31906, 0.84833, -0.42254, 62.78037
77, -0.13616, 0.48225, 0.86539, 25.51874
78, 0.91496, -0.10281, 0.39023, -41.26482
79, 0.26915, 0.87599, -0.40025, 60.71583
80, -0.30069, 0.47125, 0.82916, 29.9678
81, 0.80997, -0.28439, 0.51291, -62.03934
82, 0.46213, 0.84797, -0.2596, 41.73205
83, -0.3611, 0.44729, 0.81825, 30.73946
84, 0.93791, -0.21866, 0.26929, -28.95741
85, 0.3191, 0.84831, -0.42255, 62.78121
86, -0.13604, 0.48225, 0.86541, 25.5153
87, 0.60334, -0.35392, 0.71464, -85.89529
88, 0.65544, 0.73055, -0.19156, 27.06265
89, -0.45429, 0.58399, 0.67275, 54.04657
